Sensor ID,Timestamp,temp_C,Pressure (kPa),vibration_mm_s,STATUS
SEN-006,2025-01-04 12:44:30,72.18,103.46,0.4699,ok
SEN-015,2025-01-10T07:30:17,56.68,103.27,0.5795,ok
SEN-014,2025-01-09T13:15:50,67.62,98.42,0.5899,ok
SEN-006,2025-01-01 20:43:30,69.88,104.38,0.5537,ok
SEN-012,2025-01-14 22:45:11,69.67,102.93,0.42,ok
SEN-024,2025-01-14 17:29:22,71.74,95.89,0.4357,ok
SEN-022,2025-01-10 17:00:00,72.47,94.89,0.3883,ok
SEN-003,2025-01-02 18:15:49,65.69,99.54,0.546,ok
SEN-004,2025-01-01 08:45:44,68.16,97.3,0.5781,ok
SEN-015,2025-01-02 01:31:05,55.17,103.08,0.6448,ok
SEN-012,2025-01-09 01:46:22,70.7,104.25,0.448,ok
SEN-002,2025-01-03 14:29:02,65.34,97.15,0.4505,ok
SEN-011,2025-01-12 17:59:19+00:00,67.8,99.26,0.5526,ok
SEN-015,2025-01-06 07:58:45,56.82,101.3,0.4885,ok
SEN-010,2025-01-04 06:44:33,53.97,96.16,0.4178,ok
SEN-013,2025-01-09 06:15:46,71.19,101.57,0.6174,ok
SEN-008,01/01/2025 04:16:29,70.42,97.78,0.5697,ok 
SEN-009,10-01-2025 22:15:25,62.31,95.4,0.4774,ok
SEN-018,2025-01-03 04:44:39,67.53,95.21,0.4899,ok
SEN-006,03-01-2025 23:00:39,68.01,103.01,0.5268,ok
SEN-023,2025-01-03 05:15:15,55.13,93.3,0.3927,ok
SEN-014,2025-01-09 08:46:13,69.25,100.21,0.5598,ok 
SEN-019,2025-01-03 10:31:23,75.35,105.48,0.4618,ok
SEN-021,2025-01-09 13:30:35,59.25,101.68,0.5905,ok
SEN-021,2025-01-11 06:59:05,55.67,102.69,0.4817,ok
SEN-012,04-01-2025 00:28:52,69.27,102.36,0.5898,ok
SEN-006,2025-01-12 00:14:51,70.33,102.66,0.525,ok
SEN-021,2025-01-06 08:00:41,57.4,102.12,0.5931,ok
SEN-006,2025-01-09 00:29:51,69.38,104.98,0.574,ok
SEN-013,2025-01-03 04:29:38,70.23,101.09,0.5481,ok
SEN-002,2025-01-04T20:43:56,60.34,96.4,0.5784,ok
SEN-010,2025-01-09 02:59:28,53.63,96.07,0.4324,ok
SEN-020,2025-01-08 01:43:45,63.32,104.69,0.3817,ok
SEN-024,2025-01-12 05:14:05,73.55,97.11,0.4515,ok
SEN-016,2025-01-05 18:29:52,69.49,103.01,0.5379,ok
SEN-011,01/05/2025 09:14:11,71.26,98.23,0.5994,ok
SEN-017,2025-01-07T11:28:59,69.15,101.61,0.4696,ok
SEN-001,2025-01-14 02:43:30,60.87,102.31,0.5324,ok
SEN-020,2025-01-08 00:45:41,62.3,103.36,0.4169,ok
SEN-023,2025-01-05 23:14:44,54.7,95.74,0.4261,ok
SEN-017,2025-01-11T01:30:09,64.64,99.65,0.5728,ok
SEN-018,2025-01-04 18:00:50,67.72,95.07,0.57,ok
SEN-012,01/01/2025 03:13:45,70.69,101.51,0.4968,ok
SEN-013,2025-01-05T20:44:08,72.23,102.24,0.5499,ok
SEN-018,2025-01-14 11:30:11,69.97,95.64,0.6855,ok
SEN-023,2025-01-13 05:13:57,54.97,96.35,0.4872,ok
SEN-018,01/10/2025 04:44:07,66.41,95.19,0.6036,ok
SEN-010,2025-01-09T07:30:28,54.48,94.89,0.5051,ok
SEN-015,2025-01-11 10:13:48,60.4,102.01,0.4372,ok
SEN-010,2025-01-03 21:15:37,52.91,95.67,0.4484,ok
SEN-012,2025-01-11T13:59:49,72.73,101.72,0.5505,ok
SEN-001,2025-01-01 03:16:21,61.56,102.64,0.5855,ok
SEN-009,2025-01-02 14:29:34+00:00,65.64,97.78,0.4554,ok
SEN-007,2025-01-04 13:30:42+00:00,70.43,104.21,0.5713,ok
SEN-023,2025-01-12T17:31:29,55.12,96.97,0.4417,ok
SEN-007,2025-01-12 07:28:59,68.53,103.38,0.4862,ok
SEN-004,2025-01-02T03:29:02,66.44,N/A,0.5731,ok
SEN-010,2025-01-01 20:59:17,51.13,94.31,0.5798,ok
SEN-002,2025-01-10T14:45:35,65.83,98.0,0.5402,ok
SEN-017,2025-01-03 11:28:46,67.55,101.43,0.5639,ok
SEN-001,01/03/2025 12:14:49,65.4,101.35,0.5828,ok
SEN-012,2025-01-09 06:00:14+00:00,71.3,102.15,0.4988,ok
SEN-012,2025-01-01 21:59:48,70.35,102.38,0.4431,ok
SEN-023,2025-01-03 06:30:08,55.77,95.78,0.3556,ok
SEN-012,2025-01-09 22:15:48,70.28,103.3,0.5603,ok
SEN-009,2025-01-08T15:31:15,65.87,95.12,0.5348,ok
SEN-003,05-01-2025 21:30:58,65.82,98.26,0.6012,ok
SEN-006,2025-01-06 12:28:44,73.9,104.19,0.5246,ok
SEN-016,2025-01-13 06:00:02,69.0,101.59,0.5665,ok
SEN-005,2025-01-05 05:45:28+00:00,70.82,101.95,0.5567,Ok
SEN-020,2025-01-11 09:28:40,68.64,103.83,0.4563,ok
SEN-021,2025-01-13T17:13:44,55.97,102.03,0.5756,ok
SEN-019,01/05/2025 17:30:20,72.96,104.58,0.4687,ok
SEN-023,2025-01-07 15:31:19,58.44,96.03,0.4024,ok
SEN-023,2025-01-05 20:14:49,53.99,96.83,0.4847,ok
SEN-013,2025-01-11 08:30:24,74.93,102.27,0.5727,ok
SEN-012,2025-01-03T21:43:53,68.94,103.02,0.5238,ok
SEN-012,08-01-2025 13:30:30,71.84,102.32,0.4461,ok
SEN-024,2025-01-09 10:01:22,72.79,98.21,0.46,ok
SEN-008,2025-01-08 15:29:39,70.27,97.32,0.4865,ok
SEN-008,2025-01-06T11:15:40,72.04,97.0,0.4225,ok
SEN-014,2025-01-03 17:29:57,68.27,100.31,0.5917,ok
SEN-005,2025-01-01 13:01:10,70.91,103.23,0.5104,ok
SEN-014,14-01-2025 06:44:45,66.2,98.36,0.5663,ok
SEN-014,2025-01-02 04:44:51,66.07,98.93,0.623,ok
SEN-001,06-01-2025 07:14:44,63.9,102.23,0.6009,ok
SEN-022,2025-01-12 22:43:57,70.48,95.27,0.4041,ok
SEN-015,2025-01-06T16:59:30,57.79,101.41,0.5737,ok
SEN-004,2025-01-06 22:01:22,66.33,97.03,0.5895,ok
SEN-006,2025-01-10 11:30:30,73.86,104.09,0.6195,ok
SEN-019,2025-01-01T16:45:19,72.34,104.84,0.3429,ok
SEN-009,01/03/2025 09:59:04,66.43,97.18,0.4406,ok
SEN-001,2025-01-13 01:01:15,62.93,101.2,0.5775,ok
SEN-016,2025-01-07 13:58:38,72.66,102.27,0.6526,ok
SEN-009,2025-01-01T18:29:57,64.43,95.57,0.4709,ok
SEN-011,2025-01-08 03:30:52,65.96,99.4,0.6283,Ok
SEN-003,2025-01-10 15:28:59,69.93,97.99,0.562,ok
SEN-021,2025-01-08 22:28:50,53.98,101.99,0.5605,ok
SEN-008,2025-01-12 15:29:48,71.59,97.61,0.4136,ok
SEN-006,01/05/2025 16:45:33,72.01,103.83,0.4561,ok
SEN-023,2025-01-11 23:58:58,53.6,93.95,0.4659,ok
SEN-015,01/03/2025 10:00:04,56.62,102.47,0.5537,ok
SEN-013,2025-01-03 08:15:24,72.11,101.63,0.5248,ok
SEN-006,2025-01-11 09:44:13,72.43,103.7,0.4599,ok
SEN-008,2025-01-12 20:43:39,69.56,96.76,0.4418,ok
SEN-023,10-01-2025 04:30:49,54.05,95.69,0.4302,ok
SEN-004,2025-01-03 14:15:25,67.62,96.62,0.5815,ok
SEN-013,01/12/2025 01:30:59,71.94,102.58,0.5321,ok
SEN-020,2025-01-10 03:44:30,63.9,102.68,0.4008,ok
SEN-013,01/10/2025 01:00:15,69.44,102.66,0.658,ok
SEN-009,2025-01-01 12:45:28,68.1,97.1,0.4957,ok
SEN-023,2025-01-01 10:45:12,59.69,95.64,0.4094,ok
SEN-015,2025-01-11 20:00:00,54.67,103.38,0.5977,ok
SEN-021,2025-01-01 07:14:45,56.41,101.68,0.5497,ok
SEN-022,2025-01-03T04:59:04,69.37,94.81,0.3578,ok
SEN-014,2025-01-01 00:30:11+00:00,63.68,98.15,0.6596,ok
SEN-002,2025-01-13 09:44:43,63.28,95.36,0.4657,ok
SEN-003,2025-01-06 14:59:54+00:00,67.23,98.01,0.5253,ok
SEN-005,01/08/2025 19:29:28,70.54,103.04,0.4778,ok
SEN-010,2025-01-04 10:28:56,56.87,95.0,0.4299,ok
SEN-020,13-01-2025 02:45:15,64.15,103.92,0.4024,ok
SEN-012,2025-01-11 20:44:41,70.12,102.33,0.5158,ok
SEN-014,2025-01-04 11:46:29,69.09,98.2,0.584,ok
SEN-007,2025-01-08T22:15:41,65.55,104.53,0.5722,ok
SEN-020,2025-01-11T18:58:44,63.66,105.37,0.5025,ok
SEN-019,2025-01-06 15:45:56,75.04,104.0,0.3493,ok
SEN-002,2025-01-03T23:44:06,59.67,97.93,0.5226,ok
SEN-012,2025-01-11 09:14:49,74.11,101.02,0.4994,ok
SEN-006,2025-01-05 04:28:47,70.63,103.09,0.5591,ok
SEN-014,2025-01-09 13:58:31,67.14,99.32,0.65,ok
SEN-021,10-01-2025 03:30:52,53.4,101.97,0.5763,ok
SEN-014,02-01-2025 12:01:01,67.75,98.17,0.6676,ok
SEN-019,2025-01-14 20:00:17,71.22,104.85,0.4388,ok
SEN-014,2025-01-11 04:45:00,66.35,97.29,0.6342,ok
SEN-001,06-01-2025 14:28:32,65.27,102.54,0.6029,ok
SEN-018,2025-01-03 01:30:59,67.2,96.5,0.5693,ok
SEN-024,2025-01-11 05:00:59,72.22,96.96,0.4064,ok
SEN-009,2025-01-03 00:31:03,65.32,97.35,0.4831,ok
SEN-020,11-01-2025 14:15:26,67.33,103.27,0.3763,ok
SEN-024,2025-01-01T01:46:02,69.38,95.94,0.4432,ok
SEN-005,2025-01-11 20:59:03,70.57,102.8,0.4801,ok
SEN-006,05-01-2025 11:28:36,70.51,103.55,0.5089,ok
SEN-025,2025-01-04 19:29:24,54.34,104.08,0.3749,ok
SEN-008,13-01-2025 05:14:13,68.43,97.68,0.4506,ok
SEN-013,2025-01-06 17:01:03,74.1,103.3,0.5999,ok
SEN-018,2025-01-13 06:28:59,67.34,95.93,0.6642,ok
SEN-021,2025-01-03 22:59:06,53.51,101.34,0.4599,ok
SEN-019,2025-01-14T03:14:44,70.9,103.76,0.4117,ok
SEN-003,01/09/2025 10:44:10,68.95,97.67,0.5533,ok
SEN-017,2025-01-07 04:14:47,66.13,100.44,0.4473,ok
SEN-014,2025-01-13 05:29:34,67.24,98.6,0.5782,ok
SEN-025,01/01/2025 12:59:49,58.55,102.67,0.467,ok
SEN-007,2025-01-03 00:59:25,66.47,104.33,0.5554,ok
SEN-019,2025-01-09 15:59:48,75.04,103.88,0.4359,ok
SEN-020,2025-01-07 15:14:52,68.47,105.06,0.3969,ok
SEN-024,2025-01-09 21:14:50,72.84,96.98,0.4419,ok
SEN-005,2025-01-07 12:15:15+00:00,72.82,104.88,0.527,ok
SEN-003,2025-01-03 17:46:09,68.49,98.58,0.5953,ok
SEN-016,2025-01-12 04:45:39,71.02,102.46,0.439,ok
SEN-006,14-01-2025 10:44:45,72.0,102.07,0.5028,ok
SEN-004,2025-01-02T14:31:20,67.81,96.35,0.5806,ok
SEN-021,01/13/2025 03:59:59,54.72,102.55,0.5298,ok
SEN-002,2025-01-06 00:43:59,63.39,97.39,0.4926,ok
SEN-001,2025-01-14 10:15:23,67.17,102.77,0.5605,ok
SEN-014,2025-01-06 06:30:16+00:00,68.09,99.03,0.6696,ok
SEN-020,2025-01-01T04:59:39,65.66,104.89,0.4651,ok
SEN-013,03-01-2025 05:13:34,70.58,102.44,0.6189,ok
SEN-013,2025-01-01 01:01:23,69.4,103.11,0.567,ok
SEN-013,2025-01-06T22:45:33,69.43,102.72,0.5389,ok
SEN-012,01/04/2025 00:00:28,69.0,102.15,0.4719,ok
SEN-015,12-01-2025 18:13:56,57.69,101.83,0.5522,ok
SEN-016,2025-01-09 20:00:35,69.83,101.48,0.4934,ok
SEN-010,2025-01-12 06:14:32,55.03,96.56,0.5095,ok
SEN-022,01/02/2025 14:44:20,71.39,96.06,0.4669,ok
SEN-024,2025-01-09 03:15:06,72.87,97.69,0.3841,ok
SEN-001,2025-01-06 10:28:55,63.81,102.72,0.4373,ok
SEN-020,2025-01-08T01:31:27,63.15,105.54,0.4246,ok
SEN-004,2025-01-06 18:31:21+00:00,67.97,97.39,0.5559,ok
SEN-020,2025-01-13 13:14:28,67.58,102.66,0.5277,ok
SEN-016,01/06/2025 08:59:36,70.06,102.92,0.5727,ok
SEN-022,2025-01-08 04:13:30+00:00,71.16,95.34,0.389,ok
SEN-007,2025-01-03 11:16:25,68.89,103.87,0.5318,ok
SEN-025,2025-01-02 14:01:12,56.31,102.63,0.3862,ok
SEN-012,2025-01-03 07:15:01,70.56,102.57,0.4778,ok
SEN-025,2025-01-12T17:44:24,55.7,103.42,0.4453,ok
SEN-021,2025-01-07 02:45:03+00:00,53.22,101.45,0.4474,ok
SEN-013,2025-01-01 19:15:15,70.4,102.7,0.5795,ok
SEN-020,2025-01-13 03:13:35+00:00,64.16,101.88,0.4836,ok
SEN-018,2025-01-04 06:01:03,66.71,95.5,0.6281,ok
SEN-012,13-01-2025 01:15:09,69.89,102.98,0.5148,ok
SEN-013,07-01-2025 09:00:53,74.2,102.34,0.5687,ok
SEN-017,2025-01-08T06:00:44,67.15,100.47,0.5554,ok
SEN-023,2025-01-08T17:29:25,54.16,95.08,0.3154,ok
SEN-014,2025-01-07 20:14:27,66.29,98.56,0.5846,ok
SEN-021,2025-01-12 03:15:51,56.79,102.13,0.6025,ok
SEN-012,2025-01-10T07:29:55,71.49,103.0,0.4348,ok
SEN-002,2025-01-07 00:00:41,60.78,96.51,0.4789,ok
SEN-007,2025-01-02T23:01:16,66.25,104.9,0.5457,ok
SEN-003,2025-01-04 08:46:03,68.32,97.41,0.5884,ok
SEN-006,03-01-2025 23:30:40,67.39,103.44,0.594,ok
SEN-021,01/09/2025 08:30:52,59.28,101.87,0.5724,ok
SEN-013,2025-01-02 04:44:23+00:00,72.35,102.27,0.6093,ok
SEN-008,10-01-2025 17:14:13,68.75,97.32,0.3503,ok
SEN-010,2025-01-14T08:31:16,55.07,96.25,0.4992,ok
SEN-022,2025-01-05 03:45:00,70.89,null,0.3419, ok
SEN-025,2025-01-13 14:44:42,58.75,103.24,0.4346,ok
SEN-002,2025-01-03 04:58:47,61.87,97.71,0.5424,ok
SEN-009,2025-01-07 15:14:14,68.5,96.93,0.5632,ok
SEN-024,2025-01-13 21:00:46,70.55,97.12,0.4992,ok
SEN-022,2025-01-08 11:59:30,71.62,96.56,0.5,ok
SEN-013,2025-01-04T16:45:49,71.9,102.91,0.5667,ok
SEN-022,2025-01-09 03:31:02,70.76,95.03,0.4241,ok
SEN-009,2025-01-07 22:31:03,62.49,96.65,0.5173,ok
SEN-016,2025-01-08 11:46:05,71.22,101.56,0.4844,ok
SEN-023,2025-01-10 09:14:28,56.7,95.14,0.3296,ok
SEN-016,12-01-2025 03:00:32,69.68,101.08,0.533,ok
SEN-015,2025-01-08T08:00:13,59.74,103.43,0.6307, ok
SEN-002,2025-01-08 17:59:18,61.64,95.41,0.5232,ok
SEN-017,2025-01-12 16:15:14,66.21,100.64,0.47,ok
SEN-017,2025-01-09T06:13:48,69.15,102.13,0.6189,ok
SEN-012,01/14/2025 09:14:35,74.36,103.09,0.5207,ok
SEN-020,2025-01-03 20:44:05,64.47,-,0.4688,ok
SEN-002,2025-01-04T15:31:15,63.97,97.82,0.4829,ok
SEN-017,2025-01-04 00:59:08,64.97,101.51,0.5401,ok
SEN-003,2025-01-03T15:29:40,69.31,99.53,0.5146,ok
SEN-019,2025-01-07 10:30:42,76.52,104.72,0.4539,ok
SEN-011,2025-01-12 07:31:17,70.87,99.42,0.5135,ok
SEN-015,2025-01-07T19:59:11,55.69,101.96,0.5166,ok
SEN-021,2025-01-10 01:59:37,53.81,100.85,0.5552,ok
SEN-016,01-01-2025 18:59:24,68.97,100.97,0.5842,ok
SEN-008,2025-01-02 10:29:35,70.15,95.98,0.4117,ok
SEN-004,2025-01-07 12:45:39+00:00,69.89,98.22,0.5448,ok
SEN-014,2025-01-12 09:00:58+00:00,70.1,97.84,0.5782,ok
SEN-010,2025-01-09 13:15:25,54.61,95.71,0.4594,ok
SEN-021,2025-01-07T14:43:52,57.61,101.71,0.5392,ok
SEN-008,01/03/2025 07:00:10,69.63,97.58,0.4464,ok
SEN-024,2025-01-04 10:16:02,75.44,98.48,0.3998,ok
SEN-007,2025-01-12 12:31:19,67.29,103.74,0.6062,ok
SEN-003,08-01-2025 21:46:02,65.16,97.45,0.6004,ok
SEN-015,2025-01-11 10:44:13,60.46,102.76,0.602,ok
SEN-010,2025-01-09 11:58:31,54.42,95.92,0.4594,ok
SEN-005,2025-01-02 02:14:55,68.84,103.36,0.5279,ok
SEN-009,2025-01-12 15:00:15,66.07,96.99,0.3665,ok
SEN-020,2025-01-14 22:58:33,62.3,104.47,0.405,ok
SEN-022,2025-01-07 07:29:24,72.29,95.48,0.4542,ok
SEN-020,03-01-2025 01:15:59,64.45,105.01,0.4587,ok
SEN-017,2025-01-06T12:30:31,67.74,100.99,0.5357,ok
SEN-008,2025-01-06 03:30:41,66.86,96.32,0.4385,ok
SEN-021,2025-01-07T11:00:13,59.14,102.25,0.4464,ok
SEN-006,2025-01-07 18:14:42,68.61,103.28,0.617,ok
SEN-011,2025-01-02 22:30:41,68.18,98.56,0.525,ok
SEN-018,2025-01-06T10:30:19,67.48,96.25,0.5708,ok
SEN-011,01/14/2025 22:28:48,65.97,98.94,0.5283,ok
SEN-001,2025-01-14 09:16:18+00:00,66.22,101.75,0.4838,ok
SEN-025,2025-01-07 21:15:23,53.63,101.82,0.413,ok
SEN-019,2025-01-08 03:16:26,72.39,105.92,0.3596,ok
SEN-020,2025-01-13 21:00:53,64.9,104.0,0.4988,ok
SEN-013,2025-01-04 08:15:43,74.05,102.05,0.6201,ok
SEN-008,2025-01-05T00:28:40,69.4,97.61,0.5472,ok
SEN-018,2025-01-10 13:15:44,68.6,96.34,0.5606,ok
SEN-025,2025-01-05 16:45:14,55.3,102.75,0.3634,ok
SEN-002,11-01-2025 22:14:03,59.87,97.22,0.5159,ok
SEN-005,2025-01-10 11:58:54+00:00,73.75,102.42,0.5793,ok
SEN-007,2025-01-08 22:29:27,64.75,102.92,0.5927,ok
SEN-015,2025-01-02 17:00:38,56.7,102.29,0.5205,ok
SEN-015,2025-01-04 18:45:44,54.9,102.0,0.5529,ok
SEN-005,2025-01-05 03:45:42,70.44,104.05,0.5099,ok
SEN-012,2025-01-05 05:28:43,72.68,102.49,0.5394,ok
SEN-024,2025-01-09 01:29:48,71.93,97.43,0.4434,ok
SEN-016,2025-01-01T23:59:05,69.09,103.99,0.4504,ok
SEN-005,2025-01-10T16:46:04,70.89,101.87,0.5662,ok
SEN-017,2025-01-09 16:30:16,66.07,100.93,0.5345,ok
SEN-006,01/11/2025 23:46:09,70.66,103.46,0.5439,ok
SEN-022,2025-01-09 08:46:12+00:00,70.73,95.5,0.4622,ok
SEN-024,2025-01-03 18:43:33,73.05,96.66,0.3795,ok
SEN-009,2025-01-10 07:28:31,64.92,97.76,0.4937,ok
SEN-009,2025-01-02T06:15:33,66.89,96.92,0.3954,ok
SEN-025,01/07/2025 20:14:44,54.14,102.89,0.4616,ok
SEN-014,2025-01-11 03:00:56,64.37,100.45,0.5783,ok
SEN-007,2025-01-13 13:01:07,69.69,103.54,0.6289,ok
SEN-023,2025-01-12 20:29:56+00:00,55.46,94.86,0.4377,ok
SEN-025,2025-01-10 02:30:30,54.23,103.3,0.4728,ok
SEN-009,2025-01-11 08:30:15,68.4,96.7,0.4513,ok
SEN-005,2025-01-03T00:28:54,67.49,102.89,0.5397,ok
SEN-012,12-01-2025 04:15:52,71.25,102.02,0.4954,ok
SEN-025,2025-01-01T20:44:22,53.31,102.92,0.4913,ok
SEN-022,2025-01-11 22:30:57,69.5,95.66,0.4936,ok
SEN-003,2025-01-02T11:13:35,69.47,97.84,0.5055,ok
SEN-025,01/12/2025 06:44:56,57.42,103.04,0.4673,ok
SEN-013,01/03/2025 13:14:13,75.05,101.56,0.6121,ok
SEN-025,01/03/2025 22:59:47,53.29,102.91,0.437,ok
SEN-012,2025-01-10 19:16:15,,102.29,0.5296,ok
SEN-024,2025-01-10T10:59:24,75.53,97.38,0.3415,ok
SEN-004,2025-01-04 05:29:18,65.12,96.0,0.5425,ok
SEN-024,2025-01-09T04:45:03,72.54,97.89,0.5149,ok
SEN-005,2025-01-10 00:29:35,67.76,102.81,0.5224,ok
SEN-017,2025-01-07 19:16:11,68.42,100.89,0.519,ok
SEN-017,2025-01-09 10:29:58,69.87,102.61,0.5936,ok
SEN-011,2025-01-10 19:45:17,68.8,98.76,0.4823,ok
SEN-002,2025-01-10T05:46:04,61.44,97.29,0.5469,ok
SEN-021,2025-01-07 07:59:41,57.19,101.2,0.4832,ok
SEN-012,2025-01-05 09:15:23,72.67,102.55,0.5643,ok
SEN-006,01/13/2025 04:31:19,68.78,102.81,0.5431,ok
