sub_id,user_id,Plan,Price ($/mo),Start,End,Payment Method,Canceled
S000692,U00504,standard,13.99,2023-09-19,2024-11-09,apple_pay,TRUE
S001444,U01045,premium,17.99,2022-12-18,,credit_card,FALSE
S002020,U01463,standard,13.99,08/01/2022,,paypal,N
S001348,U00972,basic,8.99,2023-04-17,2024-03-13,paypal,FALSE
S001370,U00988,premium,17.99,2023-08-05,06/15/2024,apple_pay,no
S002074,U01500,basic,8.99,03-06-2024,,credit_card,FALSE
S000701,U00509,standard,13.99,2024-12-11,,apple_pay,no
S001740,U01260,standard,13.99,"Apr 22, 2024",03/02/2025,google_pay,false
S000423,U00305,premium,17.99,22-12-2022,,credit_card,FALSE
S001779,U01285,premium,17.99,2023-06-09,,paypal,N
S000293,U00212,standard,13.99,2023-07-12,,apple_pay,no
S001950,U01408,premium,17.99,2023-12-08,09/22/2024,google_pay,1
S001506,U01092,standard,13.99,2023-03-14,,apple_pay,no
S000900,U00647,premium,17.99,2022-07-07,,credit_card,0
S000553,U00401,standard,13.99,2022-10-08,,paypal,0
S001569,U01137,premium,17.99,2022-02-12,2022-04-04,google_pay,yes
S000599,U00436,basic,8.99,"Jun 24, 2024",14-12-2024,google_pay,FALSE
S000505,U00368,standard,13.99,2024-12-25,,paypal,N
S001914,U01380,premium,17.99,2024-10-03,,google_pay,0
S000794,U00575,basic,8.99,"Jul 15, 2023",,google_pay,no
S001949,U01407,premium,17.99,2024-05-31,,credit_card,no
S002004,U01452,basic,8.99,2023-11-21,05/13/2024,paypal,false
S000433,U00314,premium,17.99,2022-02-18,2022-09-20,credit_card,N
S001017,U00731,standard,13.99,2024-07-17,,credit_card,false
S001258,U00909,premium,17.99,2022-02-19,,google_pay,FALSE
S001281,U00927,basic,8.99,2022-04-30,2022-12-19,credit_card,false
S001082,U00779,standard,13.99,2023-09-03,2024-06-24,apple_pay,false
S000616,U00450,standard,13.99,2022-01-23,,credit_card,N
S000716,U00521,standard,13.99,2022-08-29,,google_pay,no
S001016,U00730,basic,8.99,2023-12-18,,paypal,N
S000675,U00492,premium,17.99,19-11-2022,,paypal,no
S000107,U00071,basic,8.99,11-03-2022,"Feb 06, 2023",credit_card,0
S001485,U01078,basic,8.99,2024-10-01,27-01-2025,paypal,N
S000159,U00107,basic,8.99,2022-10-30,,paypal,false
S000806,U00584,premium,17.99,"Mar 01, 2023",,google_pay,N
S002027,U01469,basic,8.99,2023-04-10,,credit_card,0
S000686,U00500,basic,8.99,2022-06-13,,paypal,false
S001469,U01065,standard,13.99,2023-06-10,,google_pay,N
S001886,U01359,premium,17.99,09/20/2023,,paypal,N
S000130,U00084,basic,8.99,2023-11-23,24-10-2024,apple_pay,true
S000896,U00645,basic,8.99,01/07/2024,"Oct 12, 2024",paypal,N
S001873,U01349,standard,13.99,2023-06-16,2024-01-27,apple_pay,FALSE
S001446,U01046,standard,13.99,2025-01-26,,credit_card,FALSE
S000044,U00030,standard,13.99,06/30/2024,14-01-2025,paypal,0
S001890,U01363,premium,17.99,11/12/2022,,credit_card,0
S000171,U00116,basic,8.99,2024-02-18,,google_pay,N
S001787,U01290,basic,8.99,2022-11-24,"Jul 16, 2023",apple_pay,N
S000721,U00525,premium,17.99,2024-03-21,2024-08-31,apple_pay,N
S000885,U00636,basic,8.99,24-09-2022,,apple_pay,N
S001363,U00984,standard,13.99,2023-08-17,,paypal,N
S001372,U00989,standard,13.99,07-07-2024,2024-10-03,credit_card,N
S001685,U01223,basic,8.99,12-04-2024,2024-07-10,google_pay,yes
S000889,U00639,standard,13.99,2023-05-28,,google_pay,N
S000924,U00661,basic,8.99,2024-01-07,,apple_pay,0
S002031,U01471,premium,17.99,2023-09-21,,paypal,no
S002063,U01492,premium,17.99,2022-03-27,,paypal,0
S001129,U00815,premium,17.99,2023-07-29,07-02-2024,google_pay,false
S000394,U00285,basic,8.99,10/06/2022,,paypal,N
S000425,U00307,standard,13.99,2024-09-07,,google_pay,N
S000468,U00339,basic,8.99,2023-12-24,2024-05-27,credit_card,FALSE
S001566,U01134,premium,17.99,"May 26, 2024",,google_pay,N
S001720,U01245,premium,17.99,14-01-2024,2024-10-06,credit_card,N
S001050,U00756,basic,8.99,2022-11-05,11-07-2023,paypal,FALSE
S000064,U00046,basic,8.99,2023-12-14,2024-07-14,google_pay,false
S000923,U00661,basic,8.99,2023-10-13,"Dec 24, 2023",apple_pay,N
S000696,U00506,standard,13.99,2023-09-29,,apple_pay,false
S001747,U01264,premium,17.99,"Mar 13, 2024",,credit_card,FALSE
S000220,U00151,standard,13.99,2024-08-09,16-10-2024,paypal,1
S001853,U01335,standard,13.99,2022-07-31,2023-03-22,credit_card,FALSE
S001966,U01421,basic,8.99,2024-11-24,,credit_card,N
S000855,U00614,standard,13.99,2022-12-30,,paypal,no
S000346,U00248,premium,17.99,2022-03-04,2022-04-17,paypal,1
S002030,U01471,standard,13.99,08/29/2022,27-08-2023,paypal,false
S000577,U00418,basic,8.99,01/02/2024,,paypal,N
S000702,U00510,standard,13.99,2023-05-03,,credit_card,no
S001915,U01381,premium,17.99,2024-10-16,,google_pay,FALSE
S000098,U00066,premium,17.99,"Nov 21, 2022",08/03/2023,apple_pay,N
S000666,U00485,basic,8.99,2023-12-15,,credit_card,no
S001565,U01134,standard,13.99,04-05-2023,2024-05-10,google_pay,FALSE
S001946,U01405,standard,13.99,06/10/2023,,apple_pay,no
S000260,U00185,standard,13.99,2024-12-15,"Mar 31, 2025",apple_pay,0
S001897,U01368,premium,17.99,02/17/2023,2024-05-24,paypal,yes
S001652,U01200,standard,13.99,15-07-2024,2024-11-28,credit_card,0
S000678,U00494,standard,13.99,2023-01-09,,credit_card,N
S000938,U00671,basic,8.99,2024-09-07,"Mar 31, 2025",apple_pay,N
S001108,U00799,basic,8.99,2023-04-02,"Jul 28, 2023",paypal,Y
S000292,U00212,standard,13.99,2022-06-11,"Jul 09, 2023",apple_pay,no
S001014,U00729,standard,13.99,03/01/2023,,paypal,no
S000932,U00668,basic,8.99,20-04-2024,2025-03-10,credit_card,no
S001342,U00968,premium,17.99,2024-07-29,2024-11-25,apple_pay,true
S001831,U01318,basic,8.99,"Apr 11, 2024",,paypal,false
S000586,U00425,basic,8.99,2022-05-02,,google_pay,FALSE
S001832,U01319,premium,17.99,2024-03-09,2025-02-06,paypal,no
S001993,U01444,basic,8.99,2024-02-07,,paypal,N
S001706,U01237,premium,17.99,2023-10-01,2024-02-11,google_pay,FALSE
S000363,U00261,basic,8.99,2022-07-24,,paypal,FALSE
S001217,U00878,standard,13.99,2024-07-10,2024-12-17,google_pay,FALSE
S001344,U00969,basic,8.99,2024-07-03,02/03/2025,credit_card,FALSE
S000017,U00010,basic,8.99,03/20/2023,31-12-2023,paypal,false
S000886,U00637,basic,8.99,04/14/2023,2024-03-20,paypal,FALSE
S001275,U00922,standard,13.99,2023-10-26,,google_pay,N
S001978,U01432,basic,8.99,2023-07-27,,google_pay,no
S000882,U00633,standard,13.99,2024-08-19,2025-03-17,google_pay,yes
S001719,U01244,premium,17.99,04/17/2022,,paypal,N
S001239,U00892,premium,17.99,"Mar 21, 2023",2023-09-06,credit_card,false
S000837,U00603,basic,8.99,2024-03-29,2024-12-17,credit_card,N
S000489,U00355,basic,8.99,2022-08-13,,apple_pay,0
S000120,U00078,basic,8.99,2023-12-25,2024-05-23,google_pay,no
S001301,U00941,basic,8.99,11/28/2023,,credit_card,no
S000233,U00162,premium,17.99,09-02-2023,,google_pay,0
S001027,U00739,basic,8.99,2022-08-04,05/23/2023,credit_card,FALSE
S001908,U01377,standard,13.99,26-03-2022,2023-02-23,google_pay,N
S000603,U00439,premium,17.99,02-07-2024,,google_pay,FALSE
S000611,U00445,standard,13.99,05/24/2024,2024-12-23,apple_pay,TRUE
S001503,U01091,basic,8.99,2022-07-31,14-11-2022,google_pay,N
S001391,U01003,premium,17.99,"Mar 18, 2022",07-12-2022,google_pay,Y
S001248,U00899,standard,13.99,2023-11-28,2024-07-19,google_pay,yes
S000830,U00599,premium,17.99,2023-06-07,,apple_pay,false
S001164,U00842,basic,8.99,02/17/2025,,credit_card,0
S000935,U00670,premium,17.99,11/09/2022,2023-04-29,apple_pay,N
S000576,U00417,basic,8.99,2022-04-29,,paypal,false
S001422,U01028,basic,8.99,2024-10-27,,credit_card,no
S001173,U00850,standard,13.99,2023-07-11,,credit_card,false
S000087,U00060,basic,8.99,2024-09-28,18-03-2025,credit_card,FALSE
S000054,U00038,standard,13.99,10/25/2022,,google_pay,0
S000135,U00089,premium,17.99,09/26/2023,,paypal,FALSE
S000564,U00409,standard,13.99,11-04-2022,2023-01-18,google_pay,N
S001111,U00802,standard,13.99,2023-11-27,2024-03-03,paypal,FALSE
S001237,U00890,standard,13.99,2025-02-04,2025-03-26,paypal,TRUE
S001650,U01198,basic,8.99,2024-12-16,2025-03-31,apple_pay,0
S000725,U00528,basic,8.99,2023-01-12,2023-12-16,paypal,FALSE
S000534,U00388,standard,13.99,2022-06-28,04-01-2023,credit_card,0
S000467,U00339,basic,8.99,2023-03-15,2023-12-07,credit_card,no
S001247,U00898,basic,8.99,2024-04-28,,google_pay,no
S000964,U00692,premium,17.99,01/01/2023,2023-09-27,google_pay,N
S000093,U00063,premium,17.99,"Feb 19, 2024",2024-12-18,paypal,FALSE
S000361,U00259,basic,8.99,2024-03-12,,paypal,no
S001396,U01007,standard,13.99,07/17/2024,,google_pay,0
S000449,U00325,premium,17.99,2023-12-01,,apple_pay,FALSE
S001825,U01314,basic,8.99,2023-10-10,10/06/2024,google_pay,0
S000111,U00073,premium,17.99,05-11-2024,2025-01-31,apple_pay,FALSE
S000793,U00575,basic,8.99,2022-12-21,2023-06-23,google_pay,FALSE
S000891,U00640,premium,17.99,2023-04-24,,apple_pay,0
S001696,U01231,basic,8.99,18-03-2025,2025-03-31,google_pay,true
S001817,U01310,standard,13.99,12/14/2022,,google_pay,0
S001227,U00885,standard,13.99,05/17/2022,2022-11-29,google_pay,FALSE
S001337,U00966,premium,17.99,"Mar 18, 2024",26-08-2024,credit_card,0
S000162,U00110,premium,17.99,2024-01-13,27-08-2024,paypal,TRUE
S000956,U00685,standard,13.99,2022-10-19,2023-03-23,apple_pay,yes
S000283,U00203,standard,13.99,2023-05-14,2023-07-03,google_pay,Y
S001316,U00953,basic,8.99,"May 03, 2023",12/07/2023,google_pay,FALSE
S001362,U00983,basic,8.99,"Dec 15, 2024",2025-03-31,apple_pay,FALSE
S000751,U00547,standard,13.99,30-10-2024,31-03-2025,paypal,false
S000424,U00306,standard,13.99,2022-08-22,,google_pay,false
S001058,U00762,standard,13.99,2023-10-06,,credit_card,FALSE
S001404,U01014,standard,13.99,2024-10-18,,paypal,0
S001713,U01241,premium,17.99,12/16/2023,"Jun 19, 2024",credit_card,no
S001538,U01117,basic,8.99,2025-02-01,,credit_card,no
S001790,U01292,premium,,2022-10-15,06/30/2023,paypal,false
S001365,U00986,standard,13.99,2024-09-07,2025-02-13,apple_pay,no
S000690,U00503,basic,8.99,2023-04-20,2023-10-10,google_pay,false
S002043,U01480,standard,13.99,2024-10-29,31-03-2025,credit_card,0
S000665,U00485,standard,13.99,2023-03-20,2023-11-23,credit_card,false
S001068,U00771,premium,17.99,2024-05-12,2025-03-22,google_pay,1
S001179,U00854,basic,8.99,"Feb 13, 2022",2022-12-04,apple_pay,no
S000205,U00142,basic,8.99,2023-09-02,"Dec 17, 2023",apple_pay,FALSE
S001146,U00828,standard,13.99,"Jun 02, 2022",,apple_pay,0
S001128,U00814,standard,13.99,2022-10-27,,paypal,0
S001306,U00945,premium,17.99,10/15/2024,,apple_pay,false
S000498,U00363,premium,17.99,2022-01-14,03/11/2022,credit_card,true
S001637,U01186,premium,17.99,09/12/2024,31-03-2025,apple_pay,false
S001977,U01431,premium,17.99,02/26/2024,2024-04-16,google_pay,Y
S000689,U00502,premium,17.99,23-02-2023,,credit_card,N
S000353,U00253,premium,17.99,2023-08-27,,google_pay,false
S001420,U01026,standard,13.99,2023-02-23,,credit_card,0
S001080,U00778,standard,13.99,2023-09-26,15-03-2024,google_pay,false
S001037,U00746,standard,13.99,2023-12-14,,google_pay,N
S000653,U00476,premium,17.99,2022-06-28,2022-09-15,apple_pay,1
S000169,U00115,basic,8.99,2022-01-02,2022-11-12,paypal,false
S001752,U01268,basic,8.99,2022-03-13,,credit_card,FALSE
S001178,U00853,basic,8.99,2023-06-08,,paypal,no
S001435,U01039,standard,13.99,2022-04-04,,apple_pay,no
S000037,U00026,standard,13.99,2024-07-16,08-11-2024,credit_card,no
S001597,U01159,standard,13.99,01/25/2024,2025-01-30,apple_pay,N
S002022,U01465,premium,17.99,2022-11-08,,apple_pay,0
S001954,U01411,standard,13.99,2023-08-25,,google_pay,no
S001629,U01181,basic,8.99,25-05-2023,10/27/2023,credit_card,FALSE
S001913,U01380,standard,13.99,2023-10-26,"Sep 04, 2024",google_pay,N
S000567,U00411,premium,17.99,05-04-2023,05-01-2024,paypal,no
S001020,U00733,premium,17.99,19-04-2023,,apple_pay,0
S001368,U00987,standard,13.99,2023-08-09,2024-09-04,apple_pay,no
S001010,U00726,standard,13.99,"Jan 21, 2024",,paypal,false
S001116,U00804,premium,17.99,2023-08-09,2023-12-24,apple_pay,N
S001047,U00754,premium,17.99,2023-05-18,27-02-2024,google_pay,0
S001986,U01438,standard,13.99,2022-01-27,,credit_card,FALSE
S000132,U00086,basic,8.99,2023-10-04,,google_pay,FALSE
S001468,U01064,premium,17.99,2022-06-14,,paypal,no
S002072,U01498,basic,8.99,28-05-2023,,google_pay,N
S000266,U00191,premium,17.99,"Oct 08, 2022",03/13/2023,apple_pay,no
S001816,U01309,basic,8.99,02/13/2023,,credit_card,0
S001728,U01252,premium,17.99,2024-09-22,2025-03-31,paypal,N
S000560,U00405,premium,17.99,2024-01-13,2024-02-17,paypal,TRUE
S000857,U00615,basic,8.99,07/08/2023,,credit_card,false
S000109,U00072,standard,13.99,"Jul 22, 2022",,paypal,N
S001336,U00965,standard,13.99,2024-01-27,,credit_card,0
S000457,U00331,basic,8.99,2023-12-01,,google_pay,no
S001899,U01370,standard,13.99,"Nov 03, 2024",,apple_pay,0
S001974,U01428,standard,13.99,2024-09-23,,credit_card,0
S001539,U01118,premium,17.99,2024-10-08,,apple_pay,no
S002016,U01459,premium,17.99,19-10-2024,19-01-2025,apple_pay,Y
S000501,U00366,standard,13.99,2022-11-17,2023-05-21,apple_pay,false
S001156,U00836,premium,17.99,09/01/2024,,apple_pay,N
S000313,U00224,premium,17.99,2023-05-16,2024-05-12,credit_card,FALSE
S001039,U00748,basic,8.99,2022-01-11,2022-05-18,credit_card,yes
S001374,U00990,premium,17.99,03/22/2023,,credit_card,0
S000167,U00114,basic,8.99,03/10/2022,2022-09-23,google_pay,FALSE
S001416,U01023,premium,17.99,2024-11-19,"Mar 31, 2025",google_pay,FALSE
S001764,U01275,premium,17.99,2024-11-30,,apple_pay,no
S000269,U00193,premium,17.99,22-02-2022,,paypal,0
S000752,U00548,basic,8.99,2023-09-15,,paypal,0
S001277,U00924,basic,8.99,2022-02-24,03/30/2023,apple_pay,yes
S000231,U00161,premium,17.99,2023-10-27,07/13/2024,google_pay,false
S000849,U00611,premium,17.99,2022-07-24,06-04-2023,apple_pay,no
S001979,U01433,basic,8.99,"Nov 27, 2024",2025-03-04,paypal,yes
S000426,U00308,premium,17.99,10-05-2022,,apple_pay,false
S000206,U00142,basic,8.99,2024-01-15,2024-08-13,apple_pay,TRUE
S000224,U00154,standard,13.99,2022-07-01,,credit_card,FALSE
S001443,U01045,premium,17.99,2022-04-19,2022-12-10,credit_card,false
S001990,U01441,premium,17.99,2022-07-31,"Jun 01, 2023",credit_card,yes
S000909,U00653,premium,17.99,2023-07-13,2024-11-05,credit_card,yes
S001312,U00950,standard,13.99,2022-08-25,,credit_card,no
S001902,U01373,standard,13.99,2022-09-28,,paypal,N
S000057,U00040,standard,13.99,2025-01-29,17-03-2025,apple_pay,true
S001286,U00929,basic,8.99,"Feb 28, 2023",,credit_card,false
S000276,U00197,premium,17.99,07/18/2024,2025-03-31,credit_card,false
S001505,U01092,premium,17.99,02-05-2022,21-02-2023,apple_pay,no
S000043,U00029,standard,13.99,2022-10-07,,google_pay,no
S001241,U00893,standard,13.99,11/06/2024,2025-03-31,credit_card,0
S001231,U00886,basic,8.99,16-05-2023,,credit_card,0
S000657,U00479,premium,17.99,"Jul 09, 2023",,apple_pay,FALSE
S000461,U00333,basic,8.99,2023-06-29,,paypal,false
S001609,U01166,basic,8.99,22-04-2023,2024-02-21,google_pay,0
S000845,U00607,premium,17.99,07/16/2023,,paypal,N
S000535,U00388,standard,13.99,23-01-2023,2023-04-03,credit_card,no
S001025,U00737,basic,8.99,2022-10-28,,paypal,false
S001198,U00866,premium,17.99,2022-08-19,08/31/2023,paypal,0
S001699,U01233,standard,13.99,2024-11-21,26-02-2025,paypal,no
S001904,U01375,standard,13.99,16-08-2023,2024-03-12,apple_pay,0
S001985,U01437,basic,8.99,2022-10-04,,credit_card,0
S001852,U01335,premium,17.99,"Apr 11, 2022",2022-07-06,credit_card,no
S000245,U00171,basic,8.99,12-02-2023,,apple_pay,0
S001941,U01401,basic,8.99,03/12/2022,01/01/2023,paypal,no
S001457,U01055,premium,17.99,2023-10-05,2024-02-29,paypal,1
S001482,U01076,standard,13.99,2022-08-02,,google_pay,N
S000291,U00211,basic,8.99,08-11-2024,,apple_pay,no
S001421,U01027,premium,17.99,2024-11-26,,credit_card,no
S001011,U00727,premium,17.99,09/26/2022,,credit_card,0
S000182,U00122,premium,17.99,08-02-2024,,credit_card,N
S001582,U01147,standard,13.99,2025-02-27,"Mar 31, 2025",apple_pay,N
S000179,U00120,standard,13.99,"Nov 09, 2022",,paypal,N
S001379,U00995,standard,13.99,2023-12-02,,paypal,N
S001087,U00783,premium,17.99,27-05-2023,07/22/2023,apple_pay,Y
S001763,U01275,premium,17.99,12/02/2023,21-11-2024,apple_pay,no
S001827,U01315,basic,8.99,2024-08-17,2025-03-31,google_pay,N
S001874,U01349,premium,17.99,"Feb 04, 2024",,apple_pay,N
S000437,U00316,standard,13.99,11/26/2023,,google_pay,N
S000036,U00025,premium,17.99,2022-07-04,,google_pay,false
S000336,U00239,standard,13.99,"Jan 18, 2023",,paypal,no
S000755,U00550,standard,13.99,2022-12-31,2023-04-23,credit_card,false
S000508,U00371,basic,8.99,2022-05-02,,paypal,no
S001133,U00818,standard,13.99,2023-11-08,2024-09-15,google_pay,1
S001625,U01178,basic,8.99,09/14/2024,"Mar 31, 2025",credit_card,N
S000804,U00583,standard,13.99,09/21/2024,12-01-2025,paypal,FALSE
S001260,U00910,premium,17.99,26-05-2024,,google_pay,FALSE
S001721,U01245,standard,13.99,10/15/2024,2024-11-28,credit_card,TRUE
S000544,U00393,premium,17.99,04/20/2022,2022-05-30,google_pay,1
S001991,U01442,standard,13.99,"Nov 05, 2024",,credit_card,no
S000914,U00656,premium,17.99,"Jan 23, 2025",,apple_pay,FALSE
S000607,U00442,standard,13.99,2023-03-01,09/19/2023,apple_pay,TRUE
S000646,U00470,premium,17.99,2024-06-25,,apple_pay,0
S001507,U01093,standard,13.99,2022-07-30,,apple_pay,false
S001388,U01002,standard,13.99,2022-11-23,2023-12-26,google_pay,no
S001875,U01350,standard,13.99,2024-05-31,12/04/2024,apple_pay,TRUE
S001267,U00914,basic,8.99,05-01-2023,2023-05-26,google_pay,TRUE
S000966,U00693,basic,8.99,2023-05-29,2023-11-06,credit_card,0
S001045,U00753,basic,8.99,2024-04-28,,google_pay,FALSE
S001292,U00933,standard,13.99,2024-09-05,2025-03-31,apple_pay,N
S000626,U00458,basic,8.99,"Sep 29, 2023",,google_pay,0
S001703,U01236,basic,8.99,"Apr 24, 2022",2023-04-22,credit_card,N
S001486,U01078,basic,8.99,2025-02-23,,paypal,false
S001498,U01087,premium,17.99,"Dec 24, 2022",,paypal,FALSE
S001585,U01150,standard,13.99,2024-01-18,,apple_pay,0
S001623,U01176,standard,13.99,08-08-2023,,credit_card,0
S001765,U01276,basic,8.99,2023-09-07,04/17/2024,credit_card,false
S001307,U00946,standard,13.99,05/20/2023,,google_pay,false
S001921,U01387,basic,8.99,2024-07-24,02-01-2025,paypal,Y
S000100,U00066,premium,17.99,13-11-2023,,apple_pay,N
S001211,U00874,basic,8.99,2023-12-10,2024-07-23,google_pay,true
S000118,U00076,basic,8.99,18-01-2025,,google_pay,N
S001755,U01269,premium,17.99,2024-02-07,,apple_pay,N
S001548,U01124,premium,17.99,2024-01-15,,apple_pay,0
S000566,U00410,standard,13.99,2024-11-21,31-03-2025,credit_card,N
S001806,U01303,premium,17.99,2022-10-11,,credit_card,false
S000067,U00047,standard,13.99,2023-08-17,2024-01-07,google_pay,yes
S001035,U00745,basic,8.99,2023-09-04,09/12/2024,google_pay,0
S000474,U00344,premium,17.99,2023-03-03,,credit_card,0
S001712,U01240,standard,13.99,"Sep 20, 2022",,apple_pay,no
S000850,U00611,premium,17.99,04/09/2023,2024-04-09,apple_pay,FALSE
S000848,U00610,basic,8.99,2024-09-27,,credit_card,0
S002036,U01475,basic,8.99,2023-11-01,"Oct 25, 2024",credit_card,true
S001167,U00845,standard,13.99,01/11/2023,02-05-2023,credit_card,N
S000796,U00577,basic,8.99,2024-04-21,,google_pay,no
S001560,U01132,basic,8.99,2022-10-13,12/21/2022,paypal,FALSE
S000572,U00414,standard,13.99,2022-04-22,18-12-2022,google_pay,N
S001893,U01365,premium,17.99,2023-01-19,2023-04-14,paypal,TRUE
S000839,U00604,basic,8.99,02-10-2022,2023-02-21,google_pay,N
S000517,U00376,standard,13.99,2023-01-06,2023-10-06,credit_card,0
S001471,U01067,basic,8.99,2022-04-08,,google_pay,false
S000435,U00315,basic,8.99,09/30/2023,2024-05-23,paypal,FALSE
S000650,U00474,basic,8.99,02/20/2023,,apple_pay,false
S001223,U00882,premium,17.99,14-06-2024,2024-09-01,credit_card,yes
S000366,U00263,basic,8.99,2023-03-04,,paypal,0
S000279,U00199,standard,13.99,2022-08-19,2024-02-17,credit_card,yes
S000878,U00630,premium,17.99,2023-09-02,2024-09-03,credit_card,false
S001283,U00928,premium,17.99,2022-12-25,,paypal,N
S000086,U00059,basic,8.99,2023-01-10,,google_pay,FALSE
S000775,U00564,basic,8.99,2022-09-07,,google_pay,N
S000866,U00621,premium,17.99,2025-03-30,2025-03-31,apple_pay,no
S000011,U00006,basic,8.99,03/22/2024,,credit_card,0
S001849,U01333,basic,8.99,2023-08-27,2024-04-03,credit_card,no
S001811,U01306,basic,8.99,2022-07-16,2023-07-19,paypal,FALSE
S001382,U00997,standard,13.99,18-06-2024,,apple_pay,no
S000360,U00258,standard,13.99,2023-03-05,,google_pay,false
S000041,U00028,standard,13.99,2024-03-30,2025-02-10,paypal,0
S001925,U01391,basic,8.99,16-06-2023,2024-06-02,paypal,FALSE
S000625,U00457,premium,17.99,03-08-2022,,paypal,no
S001517,U01102,basic,8.99,2022-05-19,,google_pay,no
S001324,U00957,standard,13.99,06/27/2023,,paypal,no
S001822,U01312,basic,8.99,2025-03-17,,paypal,N
S001938,U01398,premium,17.99,2023-04-28,,paypal,FALSE
S001101,U00795,basic,8.99,2023-03-02,,paypal,FALSE
S001673,U01215,standard,13.99,10/11/2022,,credit_card,N
S002070,U01497,basic,8.99,2022-01-05,2022-07-06,paypal,Y
S000133,U00087,premium,17.99,"Jul 04, 2022",,apple_pay,no
S001226,U00884,premium,17.99,05/08/2023,"Jul 14, 2023",paypal,TRUE
S001288,U00931,premium,17.99,"Dec 16, 2023",2024-06-26,google_pay,no
S001182,U00856,standard,13.99,01/22/2024,03/27/2024,paypal,N
S001463,U01061,basic,8.99,2023-07-24,,credit_card,0
S000527,U00383,premium,17.99,"Apr 03, 2024",,apple_pay,no
S001398,U01009,basic,8.99,2022-06-19,,apple_pay,0
S001073,U00773,basic,8.99,2024-03-08,,credit_card,false
S000920,U00660,basic,8.99,03/02/2024,2024-06-27,credit_card,FALSE
S001910,U01377,standard,13.99,2023-10-02,,google_pay,0
S001006,U00724,standard,13.99,2023-11-27,2024-01-30,credit_card,no
S000663,U00484,basic,8.99,14-09-2024,22-12-2024,apple_pay,Y
S002059,U01490,standard,13.99,2023-04-22,2024-03-29,apple_pay,no
S001912,U01379,basic,8.99,2023-03-09,09-06-2023,paypal,Y
S000708,U00515,premium,17.99,"Jan 04, 2025",2025-02-17,paypal,1
S001175,U00852,standard,13.99,2023-09-26,02/26/2024,apple_pay,0
S000970,U00695,premium,17.99,2023-08-30,2024-03-22,credit_card,yes
S000055,U00039,standard,13.99,2023-09-28,,paypal,false
