customer_id,signup_date,acquisition_channel,country
C00138,2024-01-10,paid_search,US
C00139,2024-09-17,organic,CA
C00140,2024-01-29,organic,CA
C00141,2024-06-20,paid_search,CA
C00142,2024-11-23,referral,AU
C00143,2024-12-07,social,US
C00144,2024-01-31,organic,US
C00145,2024-12-29,paid_search,US
C00146,2025-02-07,referral,FR
C00147,2024-07-03,social,US
C00148,2024-09-14,referral,FR
C00149,2024-10-12,organic,US
C00150,2024-05-21,social,US
C00151,2025-01-31,paid_search,CA
C00152,2025-03-29,paid_search,US
C00153,2024-05-10,social,US
C00154,2024-12-24,paid_search,US
C00155,2024-12-22,organic,CA
C00156,2025-01-06,organic,US
C00157,2024-12-20,social,US
C00158,2024-06-21,organic,US
C00159,2025-03-25,social,US
C00160,2025-01-13,organic,US
C00161,2024-04-04,paid_search,DE
C00162,2024-06-06,referral,US
C00163,2024-07-05,paid_search,UK
C00164,2024-02-21,social,US
C00165,2024-02-02,social,US
C00166,2024-05-31,organic,DE
C00167,2024-07-14,referral,AU
C00168,2025-01-14,paid_search,DE
C00169,2025-01-03,organic,US
C00170,2025-03-29,organic,US
C00171,2024-05-26,paid_search,UK
C00172,2024-09-26,paid_search,DE
C00173,2024-07-30,paid_search,US
C00174,2024-04-09,referral,US
C00175,2024-10-12,organic,FR
C00176,2025-02-05,organic,AU
C00177,2024-03-02,referral,US
C00178,2024-06-14,referral,FR
C00179,2024-03-10,organic,AU
C00180,2024-12-10,paid_search,CA
C00181,2024-07-17,organic,US
C00182,2024-09-17,paid_search,DE
C00183,2024-05-16,paid_search,UK
C00184,2025-03-07,paid_search,FR
C00185,2025-02-23,paid_search,CA
C00186,2024-03-15,social,US
C00187,2025-02-16,social,US
C00188,2024-07-04,paid_search,AU
C00189,2024-11-01,social,CA
C00190,2024-02-09,paid_search,US
C00191,2024-04-26,organic,UK
C00192,2024-12-12,paid_search,CA
C00193,2024-10-30,organic,US
C00194,2024-12-24,referral,US
C00195,2025-03-21,paid_search,UK
C00196,2024-01-11,organic,UK
C00197,2024-07-09,organic,CA
C00198,2024-06-02,paid_search,UK
C00199,2024-05-20,social,FR
C00200,2024-12-07,social,US
C00201,2024-09-14,paid_search,UK
C00202,2024-09-08,organic,CA
C00203,2024-04-13,organic,UK
C00204,2024-09-08,social,DE
C00205,2024-10-12,social,DE
C00206,2024-11-29,paid_search,CA
C00207,2024-07-16,social,CA
C00208,2024-06-06,paid_search,AU
C00209,2024-07-30,organic,CA
C00210,2024-05-06,organic,US
C00211,2024-08-26,organic,US
C00212,2025-03-31,referral,US
C00213,2024-10-14,referral,US
C00214,2024-10-06,social,AU
C00215,2025-02-08,referral,US
C00216,2024-10-19,organic,AU
C00217,2024-07-09,social,US
C00218,2024-02-28,organic,US
C00219,2024-03-27,organic,US
C00220,2024-06-15,social,CA
C00221,2025-02-05,social,UK
C00222,2024-12-15,social,US
C00223,2024-06-16,paid_search,CA
C00224,2024-09-07,social,DE
C00225,2024-03-07,organic,US
C00226,2024-01-14,paid_search,US
C00227,2024-07-09,organic,UK
C00228,2025-03-11,referral,DE
C00229,2024-12-05,organic,US
C00230,2025-02-09,organic,UK
C00231,2025-03-24,organic,UK
C00232,2024-09-19,social,DE
C00233,2024-10-17,social,US
C00234,2024-07-03,referral,DE
C00235,2024-09-08,referral,AU
C00236,2024-04-10,social,US
C00237,2024-11-22,social,DE
C00238,2024-12-12,referral,US
C00239,2024-10-21,paid_search,UK
C00240,2024-03-13,social,DE
C00241,2024-11-01,organic,US
C00242,2024-03-10,paid_search,FR
C00243,2024-01-07,organic,US
C00244,2024-02-25,paid_search,DE
C00245,2024-12-10,paid_search,FR
C00246,2024-04-18,organic,US
C00247,2024-03-26,organic,DE
C00248,2024-04-06,organic,UK
C00249,2024-05-04,organic,US
C00250,2024-08-30,paid_search,UK
C00251,2024-03-24,referral,US
C00252,2024-01-11,paid_search,DE
C00253,2024-05-05,referral,FR
C00254,2025-01-24,paid_search,UK
C00255,2024-07-02,organic,UK
C00256,2024-09-28,organic,US
C00257,2024-04-18,paid_search,CA
C00258,2024-04-18,organic,FR
C00259,2024-03-16,social,DE
C00260,2024-06-24,social,CA
C00261,2024-09-17,organic,US
C00262,2024-05-06,organic,US
C00263,2024-09-05,organic,US
C00264,2025-02-28,paid_search,FR
C00265,2024-04-25,social,US
C00266,2025-02-07,referral,US
C00267,2024-06-12,paid_search,UK
C00268,2024-10-28,social,US
C00269,2024-12-11,social,US
C00270,2025-03-22,social,US
C00271,2024-01-11,paid_search,US
C00272,2024-03-16,referral,US
C00273,2024-09-20,social,DE
C00274,2025-01-20,social,DE
C00275,2024-05-28,organic,FR
C00276,2024-03-17,social,US
C00277,2024-01-04,paid_search,US
C00278,2024-08-26,referral,AU
C00279,2024-09-06,referral,UK
C00280,2024-01-09,social,DE
C00281,2024-08-13,referral,UK
C00282,2024-01-01,social,CA
C00283,2024-09-17,referral,AU
C00284,2025-01-08,organic,US
C00285,2024-09-16,paid_search,AU
C00286,2025-02-06,organic,US
C00287,2024-10-27,social,US
C00288,2024-06-30,referral,FR
C00289,2025-01-26,organic,DE
C00290,2024-06-23,organic,CA
C00291,2024-06-11,social,US
C00292,2024-07-03,social,FR
C00293,2024-01-10,social,US
C00294,2024-04-28,organic,AU
C00295,2024-12-14,referral,FR
C00296,2024-02-25,social,CA
C00297,2024-05-02,organic,US
C00298,2024-10-06,social,US
C00299,2024-06-09,organic,FR
C00300,2025-03-26,social,FR
C00301,2024-03-19,social,US
C00302,2024-03-30,referral,US
C00303,2024-08-23,organic,US
C00304,2024-12-05,social,US
C00305,2024-08-25,social,US
C00306,2024-06-10,paid_search,CA
C00307,2025-03-11,social,AU
C00308,2024-12-28,organic,UK
C00309,2025-02-03,organic,DE
C00310,2024-12-24,referral,US
C00311,2024-06-29,paid_search,US
C00312,2024-10-27,organic,UK
C00313,2024-12-08,organic,CA
C00314,2024-02-09,social,US
C00315,2024-05-12,referral,DE
C00316,2024-04-09,organic,US
C00317,2024-09-13,organic,US
C00318,2024-11-16,referral,CA
C00319,2024-09-03,paid_search,UK
C00320,2025-01-11,social,CA
C00321,2024-11-27,social,US
C00322,2024-02-04,organic,CA
C00323,2024-11-18,social,AU
C00324,2025-01-18,social,UK
C00325,2024-10-31,social,CA
C00326,2024-01-22,organic,US
C00327,2025-01-04,paid_search,US
C00328,2024-06-14,paid_search,US
C00329,2024-05-01,paid_search,CA
C00330,2024-09-11,social,US
C00331,2024-09-11,paid_search,US
C00332,2024-10-30,paid_search,US
C00333,2025-02-17,paid_search,UK
C00334,2024-09-18,organic,AU
C00335,2024-09-27,paid_search,DE
C00336,2024-01-12,social,US
C00337,2025-03-14,referral,US
C00338,2024-05-11,social,FR
C00339,2024-01-08,referral,US
C00340,2024-09-24,social,FR
C00341,2024-06-18,organic,AU
C00342,2024-09-03,social,FR
C00343,2024-09-05,paid_search,US
C00344,2025-02-13,social,AU
C00345,2024-08-17,paid_search,CA
C00346,2024-11-22,social,UK
C00347,2024-05-15,organic,US
C00348,2024-04-08,referral,US
C00349,2024-08-24,social,US
C00350,2024-10-25,social,US
C00351,2024-04-23,organic,UK
C00352,2024-01-21,social,US
C00353,2024-09-23,organic,UK
C00354,2025-02-20,social,US
C00355,2025-03-17,social,UK
C00356,2024-09-07,social,US
C00357,2024-12-02,paid_search,DE
C00358,2024-06-22,organic,US
C00359,2025-02-02,social,US
C00360,2024-07-01,referral,US
C00361,2024-02-12,organic,US
C00362,2024-06-19,organic,UK
C00363,2025-02-20,social,US
C00364,2024-04-10,organic,US
C00365,2025-01-02,paid_search,US
C00366,2025-01-22,organic,UK
C00367,2024-04-08,organic,FR
C00368,2024-08-14,referral,US
C00369,2024-06-13,paid_search,US
C00370,2024-06-11,social,FR
C00371,2024-04-13,social,US
C00372,2024-06-29,organic,US
C00373,2025-03-19,organic,US
C00374,2024-09-27,social,CA
C00375,2024-06-25,organic,UK
C00376,2024-08-22,paid_search,AU
C00377,2025-01-20,social,US
C00378,2025-02-01,paid_search,AU
C00379,2024-04-03,organic,UK
C00380,2025-01-02,social,US
C00381,2024-05-24,organic,US
C00382,2024-06-21,organic,AU
C00383,2024-03-21,organic,UK
C00384,2024-06-07,social,US
C00385,2024-05-11,paid_search,DE
C00386,2024-05-17,social,US
C00387,2024-01-13,organic,AU
C00388,2024-07-20,organic,US
C00389,2024-04-16,paid_search,UK
C00390,2024-09-27,organic,CA
C00391,2024-04-20,social,US
C00392,2024-10-04,social,CA
C00393,2024-11-25,paid_search,CA
C00394,2024-12-16,social,US
C00395,2024-03-25,organic,UK
C00396,2024-01-17,social,DE
C00397,2024-08-19,organic,US
C00398,2024-02-16,social,US
C00399,2025-01-09,social,US
C00400,2025-02-12,paid_search,FR
C00401,2025-02-06,organic,US
C00402,2025-03-20,social,AU
C00403,2024-04-30,social,DE
C00404,2024-03-28,organic,UK
C00405,2025-02-28,social,US
C00406,2025-02-18,organic,US
C00407,2024-07-19,paid_search,US
C00408,2024-03-24,organic,AU
C00409,2024-01-10,organic,US
C00410,2024-09-30,organic,UK
C00411,2024-10-18,social,US
C00412,2025-02-11,social,US
C00413,2024-04-27,organic,FR
C00414,2025-03-13,organic,US
C00415,2024-01-09,social,US
C00416,2025-03-05,organic,US
C00417,2024-04-14,paid_search,UK
C00418,2024-08-31,referral,US
C00419,2024-02-28,social,DE
C00420,2025-01-14,paid_search,US
C00421,2025-03-25,social,UK
C00422,2024-06-22,social,FR
C00423,2025-03-06,social,US
C00424,2024-12-12,paid_search,AU
C00425,2025-02-18,referral,DE
C00426,2025-02-10,social,US
C00427,2024-01-04,organic,US
C00428,2024-07-08,paid_search,DE
C00429,2024-04-22,referral,CA
C00430,2024-01-23,organic,UK
C00431,2024-07-21,referral,UK
C00432,2025-02-17,social,UK
C00433,2024-12-27,organic,US
C00434,2025-03-07,social,UK
C00435,2024-06-27,organic,DE
C00436,2024-08-21,paid_search,UK
C00437,2025-01-03,paid_search,DE
C00438,2024-05-30,organic,US
C00439,2024-09-13,organic,UK
C00440,2024-07-13,social,US
C00441,2024-04-30,organic,US
C00442,2024-11-23,paid_search,AU
C00443,2024-11-05,paid_search,US
C00444,2024-05-17,referral,UK
C00445,2024-05-09,referral,US
C00446,2025-03-18,organic,AU
C00447,2024-05-20,organic,US
C00448,2024-09-01,referral,US
C00449,2024-07-19,referral,UK
C00450,2024-05-14,organic,US
C00451,2024-07-08,referral,DE
C00452,2024-07-07,referral,US
C00453,2025-01-15,organic,FR
C00454,2024-01-19,paid_search,UK
C00455,2024-03-07,organic,US
C00456,2024-12-21,paid_search,DE
C00457,2024-12-19,organic,FR
C00458,2025-03-06,organic,AU
C00459,2024-07-28,organic,US
C00460,2024-10-22,social,CA
C00461,2024-02-06,organic,US
C00462,2024-07-21,paid_search,AU
C00463,2024-02-04,paid_search,US
C00464,2024-11-19,paid_search,US
C00465,2024-11-17,organic,US
C00466,2024-02-06,referral,US
C00467,2024-06-11,paid_search,AU
C00468,2024-05-13,paid_search,DE
C00469,2025-02-15,referral,US
C00470,2024-01-13,paid_search,US
C00471,2024-03-30,social,AU
C00472,2024-09-03,referral,US
C00473,2024-12-27,organic,UK
C00474,2024-06-19,organic,CA
C00475,2024-03-04,organic,AU
C00476,2024-08-22,referral,US
C00477,2025-01-05,social,US
C00478,2024-11-12,organic,US
C00479,2025-03-26,social,US
C00480,2024-04-24,organic,UK
C00481,2025-02-05,paid_search,US
C00482,2024-03-04,organic,AU
C00483,2024-09-06,social,US
C00484,2024-02-23,organic,US
C00485,2024-07-02,paid_search,DE
C00486,2024-10-03,social,AU
C00487,2024-07-30,paid_search,CA
C00488,2024-11-14,paid_search,US
C00489,2024-07-14,social,US
C00490,2024-12-25,paid_search,US
C00491,2024-10-23,paid_search,US
C00492,2025-03-13,referral,DE
C00493,2024-10-15,referral,FR
C00494,2024-07-29,social,US
C00495,2024-06-09,organic,AU
C00496,2024-04-09,paid_search,US
C00497,2024-07-25,organic,UK
C00498,2024-07-20,organic,FR
C00499,2024-07-10,organic,AU
C00500,2025-01-12,social,US
C00501,2024-02-28,referral,US
C00502,2024-07-06,organic,UK
C00503,2024-05-08,organic,US
C00504,2025-01-04,paid_search,US
C00505,2025-03-30,organic,US
C00506,2025-03-08,organic,DE
C00507,2024-04-04,organic,UK
C00508,2024-04-19,paid_search,US
C00509,2024-08-21,referral,FR
C00510,2025-01-07,paid_search,US
C00511,2024-03-08,organic,US
C00512,2025-02-20,organic,CA
C00513,2024-10-22,paid_search,US
C00514,2025-03-09,referral,US
C00515,2024-07-11,referral,US
C00516,2024-09-19,social,US
C00517,2024-03-31,organic,US
C00518,2024-01-05,paid_search,US
C00519,2025-02-11,organic,DE
C00520,2024-01-22,organic,US
C00521,2025-03-13,paid_search,US
C00522,2024-06-19,organic,UK
C00523,2024-01-09,paid_search,CA
C00524,2024-04-28,referral,AU
C00525,2024-05-25,organic,UK
C00526,2024-11-06,referral,FR
C00527,2024-02-18,social,US
C00528,2024-07-03,paid_search,AU
C00529,2024-04-25,social,DE
C00530,2024-04-02,paid_search,AU
C00531,2024-07-21,organic,US
C00532,2025-03-08,social,FR
C00533,2024-07-19,referral,US
C00534,2024-04-14,paid_search,US
C00535,2025-03-06,social,CA
C00536,2024-08-22,paid_search,FR
C00537,2025-02-02,organic,US
C00538,2024-09-05,paid_search,US
C00539,2024-08-18,paid_search,CA
C00540,2024-11-25,organic,US
C00541,2024-12-22,organic,UK
C00542,2024-06-07,social,AU
C00543,2024-09-04,organic,US
C00544,2024-05-17,referral,US
C00545,2024-04-22,organic,FR
C00546,2025-02-01,organic,US
C00547,2024-10-12,paid_search,US
C00548,2025-01-09,organic,FR
C00549,2024-02-17,organic,DE
C00550,2024-04-18,organic,US
C00551,2024-10-18,organic,US
C00552,2024-11-28,organic,FR
C00553,2024-11-01,paid_search,US
C00554,2024-11-05,organic,UK
C00555,2024-10-24,referral,US
C00556,2024-02-18,organic,US
C00557,2024-10-28,organic,US
C00558,2025-02-20,referral,US
C00559,2025-01-22,organic,US
C00560,2024-08-30,paid_search,US
C00561,2024-02-01,paid_search,UK
C00562,2025-02-06,paid_search,DE
C00563,2024-12-19,paid_search,US
C00564,2024-06-25,organic,US
C00565,2024-11-18,social,US
C00566,2024-08-08,social,US
C00567,2024-04-19,organic,DE
C00568,2024-10-25,organic,US
C00569,2024-03-12,organic,US
C00570,2024-06-01,referral,DE
C00571,2024-07-14,social,CA
C00572,2024-07-23,organic,UK
C00573,2024-10-27,organic,US
C00574,2024-02-18,social,UK
C00575,2024-03-04,referral,US
C00576,2024-06-09,organic,US
C00577,2024-11-13,organic,AU
C00578,2024-12-16,paid_search,US
C00579,2024-12-22,organic,US
C00580,2024-09-22,paid_search,US
C00581,2024-04-30,referral,DE
C00582,2024-05-13,organic,AU
C00583,2024-12-27,organic,UK
C00584,2024-09-27,organic,US
C00585,2024-12-01,organic,US
C00586,2024-12-15,referral,US
C00587,2024-02-22,organic,US
C00588,2025-01-15,social,CA
C00589,2024-05-30,organic,DE
C00590,2024-12-29,paid_search,US
C00591,2024-06-26,social,CA
C00592,2024-06-28,paid_search,UK
C00593,2024-06-23,organic,CA
C00594,2024-04-10,social,US
C00595,2025-01-29,social,FR
C00596,2024-02-10,organic,AU
C00597,2024-03-07,paid_search,US
C00598,2024-01-21,social,US
C00599,2024-03-30,organic,CA
C00600,2024-09-28,organic,DE
C00601,2024-08-08,paid_search,DE
C00602,2024-11-10,organic,US
C00603,2024-02-03,organic,US
C00604,2024-10-18,social,US
C00605,2025-01-17,referral,DE
C00606,2024-02-20,social,AU
C00607,2024-12-03,social,US
C00608,2025-02-02,organic,US
C00609,2025-03-27,referral,DE
C00610,2024-09-02,social,UK
C00611,2024-12-23,referral,UK
C00612,2024-07-14,social,US
C00613,2024-04-07,paid_search,UK
C00614,2024-06-10,referral,UK
C00615,2025-01-04,social,US
C00616,2025-01-08,organic,US
C00617,2024-11-16,organic,US
C00618,2024-09-25,social,UK
C00619,2024-03-04,referral,US
C00620,2024-03-21,organic,AU
C00621,2024-04-21,social,US
C00622,2024-10-15,social,UK
C00623,2025-01-24,social,DE
C00624,2024-07-06,referral,DE
C00625,2024-02-17,paid_search,US
C00626,2024-03-27,paid_search,US
C00627,2024-09-16,organic,UK
C00628,2024-02-01,organic,US
C00629,2024-03-02,paid_search,DE
C00630,2025-02-08,paid_search,DE
C00631,2024-06-29,referral,DE
C00632,2024-05-13,paid_search,US
C00633,2024-07-01,organic,CA
C00634,2025-01-07,organic,US
C00635,2024-04-27,paid_search,US
C00636,2024-04-04,social,CA
C00637,2024-03-11,paid_search,DE
C00638,2024-02-13,organic,US
C00639,2024-05-30,social,US
C00640,2024-06-15,organic,US
C00641,2024-06-15,paid_search,US
C00642,2024-06-20,referral,CA
C00643,2024-01-17,referral,US
C00644,2024-02-08,paid_search,US
C00645,2024-06-06,social,US
C00646,2024-01-01,organic,AU
C00647,2024-03-25,social,AU
C00648,2024-12-01,referral,AU
C00649,2024-12-28,social,DE
C00650,2024-10-10,social,US
C00651,2025-01-02,organic,UK
C00652,2025-02-01,referral,FR
C00653,2024-09-21,paid_search,UK
C00654,2025-03-11,social,CA
C00655,2024-01-02,organic,CA
C00656,2024-12-23,organic,US
C00657,2024-09-01,organic,US
C00658,2024-03-08,organic,CA
C00659,2024-06-12,organic,US
C00660,2024-11-19,referral,CA
C00661,2025-01-16,organic,CA
C00662,2025-02-03,social,CA
C00663,2024-08-16,organic,CA
C00664,2024-08-09,social,US
C00665,2024-10-05,organic,US
C00666,2024-01-07,social,CA
C00667,2024-06-14,referral,FR
C00668,2024-01-24,referral,US
C00669,2024-12-21,referral,CA
C00670,2024-09-22,organic,UK
C00671,2024-07-22,paid_search,CA
C00672,2024-11-22,organic,US
C00673,2024-10-20,social,US
C00674,2024-03-22,paid_search,US
C00675,2024-12-13,organic,US
C00676,2024-09-30,organic,UK
C00677,2024-05-01,organic,DE
C00678,2024-08-13,organic,US
C00679,2025-02-09,organic,US
C00680,2024-01-06,paid_search,UK
C00681,2024-06-18,social,DE
C00682,2024-12-07,social,US
C00683,2024-11-05,referral,US
C00684,2024-10-28,organic,US
C00685,2024-05-02,social,US
C00686,2024-01-20,organic,US
C00687,2024-04-15,referral,US
C00688,2025-01-11,social,UK
C00689,2025-03-26,organic,DE
C00690,2024-07-17,organic,US
C00691,2024-06-09,social,AU
C00692,2025-03-01,referral,US
C00693,2024-10-30,referral,US
C00694,2024-04-13,social,US
C00695,2025-02-11,organic,DE
C00696,2024-01-22,social,US
C00697,2024-07-20,organic,UK
C00698,2024-10-13,social,US
C00699,2025-02-02,organic,DE
C00700,2024-10-15,referral,US
C00701,2024-03-31,paid_search,UK
C00702,2024-02-05,organic,US
C00703,2025-01-26,organic,US
C00704,2024-02-19,organic,US
C00705,2024-06-05,paid_search,UK
C00706,2024-01-27,social,US
C00707,2024-04-12,paid_search,US
C00708,2025-01-24,social,US
C00709,2025-03-26,social,US
C00710,2024-09-26,social,FR
C00711,2025-01-04,paid_search,US
C00712,2024-06-15,paid_search,FR
C00713,2024-01-21,referral,US
C00714,2024-03-13,organic,CA
C00715,2025-01-07,paid_search,DE
C00716,2024-05-19,paid_search,US
C00717,2025-03-06,organic,CA
C00718,2024-09-13,paid_search,US
C00719,2024-11-06,referral,US
C00720,2024-08-29,paid_search,UK
C00721,2024-07-26,organic,AU
C00722,2024-09-13,paid_search,US
C00723,2024-02-01,social,UK
C00724,2024-07-10,social,US
C00725,2024-11-17,social,US
C00726,2024-02-12,organic,UK
C00727,2024-03-27,social,CA
C00728,2024-03-07,social,US
C00729,2025-02-09,organic,DE
C00730,2024-09-07,paid_search,AU
C00731,2024-03-06,social,AU
C00732,2024-03-30,paid_search,US
C00733,2025-01-01,paid_search,US
C00734,2024-06-27,organic,UK
C00735,2024-08-28,paid_search,DE
C00736,2024-03-25,paid_search,CA
C00737,2025-02-06,organic,US
C00738,2025-02-17,referral,CA
C00739,2025-01-17,social,CA
C00740,2024-11-02,referral,US
C00741,2024-04-27,paid_search,CA
C00742,2025-03-17,paid_search,US
C00743,2024-07-09,organic,CA
C00744,2024-03-12,social,UK
C00745,2024-01-30,social,US
C00746,2024-11-07,organic,US
C00747,2024-10-29,organic,US
C00748,2024-08-08,social,US
C00749,2024-12-10,social,CA
C00750,2024-02-27,organic,CA
C00751,2024-09-02,organic,AU
C00752,2024-07-28,social,US
C00753,2025-01-06,social,US
C00754,2024-10-02,referral,AU
C00755,2024-09-14,social,DE
C00756,2024-08-02,referral,US
C00757,2025-01-28,paid_search,US
C00758,2024-09-06,organic,US
C00759,2024-10-05,paid_search,US
C00760,2025-03-04,referral,US
C00761,2024-07-03,social,US
C00762,2024-10-09,paid_search,US
C00763,2024-10-23,social,US
C00764,2024-03-25,paid_search,US
C00765,2024-07-22,organic,DE
C00766,2024-09-29,paid_search,US
C00767,2024-12-04,organic,US
C00768,2025-03-14,paid_search,US
C00769,2024-09-24,social,DE
C00770,2024-04-20,social,AU
C00771,2024-03-13,organic,UK
C00772,2024-04-03,paid_search,AU
C00773,2024-12-14,organic,AU
C00774,2024-12-31,paid_search,DE
C00775,2024-03-25,paid_search,US
C00776,2024-05-23,organic,US
C00777,2024-06-10,social,US
C00778,2024-04-22,social,UK
C00779,2024-09-10,social,FR
C00780,2024-03-10,organic,CA
C00781,2025-01-19,organic,FR
C00782,2024-05-28,paid_search,CA
C00783,2024-03-27,organic,DE
C00784,2024-12-26,social,CA
C00785,2024-07-26,paid_search,DE
C00786,2025-02-21,social,US
C00787,2024-05-30,organic,UK
C00788,2025-01-22,organic,UK
C00789,2024-02-26,paid_search,FR
C00790,2024-04-22,organic,UK
C00791,2025-03-17,paid_search,UK
C00792,2025-02-22,social,FR
C00793,2024-01-13,paid_search,US
C00794,2024-11-24,referral,AU
C00795,2024-06-01,paid_search,FR
C00796,2024-08-18,social,US
C00797,2025-02-26,paid_search,US
C00798,2024-10-18,paid_search,AU
C00799,2024-04-24,referral,UK
C00800,2025-02-23,referral,DE
C00801,2024-06-06,social,DE
C00802,2024-05-27,paid_search,US
C00803,2024-04-02,social,UK
C00804,2025-02-19,social,DE
C00805,2024-02-18,organic,US
C00806,2024-06-02,social,US
C00807,2024-12-19,organic,US
C00808,2024-07-15,organic,UK
C00809,2024-04-10,paid_search,US
C00810,2024-06-24,paid_search,FR
C00811,2024-10-06,paid_search,US
C00812,2024-10-12,organic,UK
C00813,2024-07-28,referral,CA
C00814,2024-05-04,paid_search,CA
C00815,2024-01-30,organic,FR
C00816,2024-06-08,social,US
C00817,2024-04-25,paid_search,US
C00818,2024-05-26,social,UK
C00819,2024-02-12,paid_search,US
C00820,2024-06-12,social,US
C00821,2025-01-28,organic,DE
C00822,2024-01-09,paid_search,US
C00823,2024-09-24,organic,US
C00824,2024-10-16,paid_search,UK
C00825,2024-01-27,referral,UK
C00826,2025-02-01,organic,AU
C00827,2024-06-30,paid_search,US
C00828,2025-03-05,paid_search,US
C00829,2024-01-30,referral,AU
C00830,2024-03-17,organic,CA
C00831,2025-03-30,paid_search,AU
C00832,2025-03-23,paid_search,US
C00833,2024-09-05,organic,US
