order_id,customer_id,order_date,order_value,num_items
O0002136,C00684,2025-04-09,91.05,1
O0002717,C00871,2024-07-16,210.35,4
O0002979,C00946,2025-02-21,80.26,2
O0000640,C00191,2025-01-17,69.22,2
O0005565,C01775,2024-05-30,40.31,4
O0001204,C00375,2024-06-25,252.55,2
O0001309,C00418,2024-09-07,58.07,1
O0003840,C01217,2024-10-31,71.58,3
O0005517,C01757,2024-11-30,54.54,1
O0005438,C01729,2024-05-22,128.94,3
O0004181,C01340,2025-04-01,44.92,4
O0004631,C01488,2025-04-01,119.08,1
O0005488,C01742,2024-12-29,66.28,1
O0006104,C01934,2025-01-30,39.55,2
O0000178,C00063,2024-11-25,120.51,2
O0000804,C00239,2024-11-12,74.77,2
O0005529,C01763,2025-03-26,88.56,2
O0003024,C00958,2025-04-27,195.11,2
O0002727,C00874,2024-06-15,145.1,3
O0000815,C00243,2024-06-16,53.82,3
O0003138,C00993,2025-03-13,150.11,2
O0000475,C00144,2024-04-08,30.91,2
O0003817,C01204,2024-10-14,200.45,2
O0004219,C01356,2024-10-04,47.1,1
O0003086,C00976,2024-12-13,34.88,1
O0002333,C00754,2024-10-10,169.48,4
O0005043,C01616,2024-03-20,75.81,2
O0001179,C00366,2025-03-04,129.97,1
O0000832,C00246,2024-07-06,51.99,1
O0005823,C01855,2025-01-27,37.42,4
O0004362,C01402,2024-05-10,18.68,1
O0001473,C00462,2024-07-22,146.04,1
O0000539,C00162,2025-02-26,132.11,1
O0002867,C00912,2025-01-16,57.8,2
O0004942,C01586,2025-02-06,39.99,1
O0005004,C01601,2025-02-21,39.29,4
O0001579,C00498,2024-10-07,64.17,1
O0001127,C00342,2024-09-07,76.9,2
O0006260,C01999,2024-02-05,106.79,1
O0002209,C00708,2025-03-30,20.21,1
O0005979,C01899,2025-04-23,112.14,2
O0000863,C00253,2025-02-20,79.48,1
O0001044,C00313,2024-12-27,85.67,2
O0005553,C01771,2025-03-19,83.09,2
O0000416,C00124,2024-12-21,114.1,1
O0002928,C00933,2024-07-06,49.66,4
O0004214,C01353,2024-09-24,52.95,1
O0002890,C00926,2024-07-24,46.17,2
O0004505,C01456,2024-11-20,74.44,3
O0000892,C00263,2024-10-29,108.92,1
O0004607,C01484,2024-06-14,65.06,1
O0002675,C00863,2024-05-04,47.82,4
O0000370,C00109,2024-12-25,83.4,1
O0002376,C00774,2025-01-02,42.91,3
O0002170,C00694,2024-04-19,32.47,2
O0005249,C01681,2024-05-02,108.17,3
O0005557,C01773,2024-04-17,79.95,3
O0001458,C00457,2025-02-21,80.04,4
O0000123,C00040,2024-03-30,40.62,2
O0003440,C01087,2025-03-29,177.79,2
O0002041,C00648,2025-01-30,54.58,1
O0001076,C00325,2025-01-22,52.56,1
O0001422,C00448,2025-02-02,56.4,1
O0000543,C00164,2024-02-21,57.9,2
O0001913,C00600,2024-10-01,55.41,1
O0006167,C01958,2024-05-26,93.57,2
O0003107,C00984,2025-02-17,47.83,1
O0000390,C00117,2024-11-30,78.81,3
O0004895,C01572,2024-07-19,75.96,1
O0004082,C01304,2025-02-13,30.61,1
O0004477,C01448,2025-03-01,71.97,4
O0001151,C00355,2025-03-18,64.13,1
O0000862,C00253,2024-11-05,51.78,4
O0001230,C00383,2024-07-05,127.61,3
O0005575,C01779,2024-04-10,25.09,2
O0004053,C01295,2025-01-17,22.16,4
O0002432,C00793,2024-10-01,112.85,1
O0003826,C01210,2025-01-01,39.73,1
O0002442,C00798,2024-10-21,55.52,3
O0002406,C00783,2024-04-29,123.41,3
O0004828,C01551,2024-01-19,112.11,1
O0000198,C00068,2024-08-29,52.75,3
O0006146,C01951,2024-05-14,55.01,2
O0002676,C00863,2024-06-04,50.75,2
O0000096,C00026,2024-11-26,67.82,1
O0003752,C01183,2025-03-10,42.49,4
O0002647,C00855,2024-06-30,74.83,1
O0002456,C00801,2024-06-17,21.5,3
O0001260,C00395,2024-04-05,138.55,1
O0004756,C01523,2025-02-17,36.26,1
O0004133,C01321,2024-09-01,47.47,2
O0006017,C01911,2024-06-19,204.46,2
O0001047,C00315,2024-05-23,54.51,2
O0002076,C00661,2025-03-17,87.88,4
O0003347,C01059,2024-09-21,35.45,4
O0003579,C01133,2024-08-18,144.68,1
O0004051,C01295,2024-11-07,25.0,1
O0003504,C01112,2024-07-19,53.34,3
O0001661,C00524,2024-06-13,57.67,1
O0003344,C01059,2024-07-11,38.49,1
O0002673,C00862,2024-05-18,110.1,2
O0003038,C00965,2024-06-25,54.5,1
O0001268,C00397,2024-09-09,87.25,1
O0001823,C00576,2024-06-09,54.66,4
O0001346,C00430,2024-05-28,59.95,3
O0002269,C00734,2024-08-01,51.98,4
O0004063,C01299,2024-06-20,47.15,3
O0005980,C01900,2024-12-28,78.73,1
O0004025,C01286,2025-02-04,107.63,2
O0000671,C00198,2024-06-16,43.43,3
O0005835,C01859,2024-08-11,47.04,1
O0000285,C00088,2024-11-02,118.75,1
O0002746,C00883,2025-02-22,70.26,1
O0004159,C01334,2024-06-23,72.55,1
O0001184,C00368,2024-09-20,112.44,1
O0004377,C01407,2024-12-16,39.19,1
O0002492,C00810,2024-07-04,65.9,1
O0000220,C00073,2024-11-07,109.79,1
O0003017,C00953,2024-05-10,44.27,3
O0005125,C01645,2024-12-12,57.65,4
O0003098,C00981,2024-10-14,52.82,3
O0003462,C01097,2024-07-25,43.23,1
O0003091,C00977,2025-02-27,96.15,2
O0005917,C01874,2025-03-05,82.11,2
O0001538,C00484,2024-02-27,64.18,4
O0004759,C01525,2024-09-10,51.78,3
O0003559,C01127,2024-02-16,99.06,2
O0000866,C00255,2024-07-03,113.55,1
O0004790,C01539,2024-04-13,39.76,1
O0002598,C00837,2024-11-07,83.85,3
O0001499,C00472,2024-10-28,100.29,2
O0003699,C01166,2024-01-14,119.83,2
O0004289,C01386,2024-06-13,135.47,1
O0004292,C01387,2024-06-28,54.7,3
O0004731,C01516,2024-11-09,27.99,1
O0003603,C01135,2025-03-19,56.74,1
O0004955,C01588,2024-07-07,76.63,1
O0002914,C00930,2024-04-03,134.43,1
O0001511,C00474,2024-09-12,29.58,2
O0001696,C00536,2025-02-26,91.75,1
O0001411,C00445,2025-04-21,164.56,1
O0005436,C01729,2024-03-26,119.29,4
O0000751,C00218,2025-03-31,74.15,1
O0000075,C00022,2024-11-09,53.32,2
O0000064,C00016,2024-12-28,46.62,1
O0001978,C00625,2024-02-21,101.33,2
O0004737,C01517,2024-05-22,144.8,2
O0000271,C00085,2024-06-10,24.31,1
O0003803,C01199,2024-06-26,73.1,2
O0005127,C01645,2025-03-02,82.08,4
O0000128,C00042,2025-04-04,43.63,1
O0003248,C01027,2024-07-08,92.97,3
O0001758,C00555,2024-10-26,63.68,3
O0001038,C00310,2025-04-15,31.23,3
O0000046,C00013,2024-08-13,44.43,2
O0006267,C00202,2024-12-22,100.84,3
O0006040,C01913,2025-04-02,50.12,1
O0005153,C01655,2024-12-17,52.88,2
O0001437,C00452,2024-09-12,96.47,1
O0004916,C01580,2024-07-01,40.33,2
O0001351,C00430,2024-08-17,65.71,2
O0003757,C01184,2024-02-28,92.34,3
O0004734,C01517,2024-04-10,129.5,4
O0005198,C01668,2025-03-17,108.68,1
O0002960,C00942,2024-06-29,103.61,3
O0003979,C01272,2024-02-20,43.31,4
O0002830,C00900,2025-03-06,60.92,1
O0003695,C01165,2024-07-12,71.58,2
O0005789,C01845,2024-11-06,55.4,4
O0006226,C01980,2024-07-28,72.42,1
O0002931,C00934,2024-08-11,63.34,4
O0003864,C01225,2024-08-10,55.29,2
O0001832,C00577,2025-03-18,98.47,1
O0003022,C00957,2024-08-28,66.29,1
O0004382,C01408,2025-02-16,56.38,5
O0003441,C01088,2025-02-27,94.49,1
O0002020,C00642,2024-07-02,70.01,2
O0001296,C00411,2025-03-18,42.44,1
O0003638,C01145,2024-05-28,62.92,2
O0004299,C01390,2024-07-19,99.86,1
O0003771,C01193,2024-12-11,64.75,1
O0003154,C01000,2024-07-04,70.9,1
O0006080,C01925,2024-11-23,178.33,1
O0002462,C00801,2025-01-31,31.73,4
O0003477,C01101,2024-11-03,121.29,1
O0004188,C01342,2025-03-08,35.34,1
O0001536,C00483,2024-09-13,39.84,3
O0005860,C01866,2024-04-23,100.79,2
O0003645,C01146,2024-09-06,87.65,4
O0005432,C01726,2025-01-31,53.78,2
O0000784,C00230,2025-02-15,83.7,5
O0005232,C01676,2025-01-30,61.08,4
O0004163,C01334,2024-12-27,118.83,2
O0004917,C01580,2024-07-06,78.82,3
O0000029,C00007,2025-01-19,65.62,1
O0000097,C00026,2024-12-03,64.22,5
O0005184,C01664,2025-02-09,55.98,2
O0002086,C00664,2024-08-13,32.0,1
O0004489,C01451,2025-01-18,49.19,1
O0000602,C00179,2024-03-11,73.82,4
O0001143,C00350,2024-11-16,96.16,1
O0001502,C00473,2025-01-02,74.55,5
O0003205,C01015,2025-01-12,55.33,3
O0000959,C00286,2025-04-30,249.08,3
O0006019,C01911,2024-07-15,221.77,1
O0001805,C00572,2024-10-12,65.48,2
O0003143,C00995,2024-08-04,113.24,5
O0000922,C00274,2025-03-18,86.13,1
O0002831,C00900,2025-04-18,98.27,2
O0004920,C01580,2024-08-21,32.86,5
O0002284,C00738,2025-02-19,74.35,1
O0004785,C01536,2024-10-11,63.88,1
O0005110,C01638,2024-12-24,33.62,2
O0004270,C01378,2025-01-28,53.23,1
O0001911,C00598,2024-01-26,124.81,1
O0004513,C01458,2025-02-22,98.77,2
O0000353,C00108,2024-08-10,24.65,1
O0005435,C01728,2025-03-27,37.7,2
O0005244,C01679,2025-01-13,189.22,2
O0003134,C00992,2024-03-13,45.11,2
O0004437,C01435,2024-10-06,27.51,2
O0003257,C01030,2025-01-30,99.03,1
O0002390,C00778,2025-01-04,59.3,2
O0005596,C01785,2024-10-08,49.2,1
O0005952,C01886,2024-09-16,35.88,3
O0003057,C00971,2025-01-20,49.51,2
O0003660,C01151,2024-07-13,115.16,5
O0002137,C00686,2024-01-22,75.21,1
O0000875,C00256,2024-12-04,26.91,4
O0004109,C01313,2025-02-06,95.03,5
O0001525,C00480,2024-05-02,29.55,1
O0003457,C01095,2024-10-09,97.32,4
O0002976,C00944,2024-10-28,78.26,1
O0003482,C01104,2025-04-05,59.67,3
O0004697,C01510,2024-11-17,62.9,3
O0001863,C00583,2024-12-29,64.96,2
O0005855,C01863,2024-10-03,125.49,1
O0005756,C01839,2025-03-03,63.71,1
O0001287,C00407,2024-07-20,106.9,4
O0000690,C00206,2025-01-25,86.1,4
O0004255,C01371,2024-12-19,54.21,1
O0003534,C01120,2024-12-12,58.54,2
O0004481,C01449,2024-04-12,38.93,4
O0002671,C00862,2024-04-25,60.07,2
O0003919,C01248,2025-04-22,44.14,5
O0005360,C01710,2024-06-07,56.16,1
O0005594,C01785,2024-09-07,83.68,2
O0002036,C00645,2024-07-22,40.34,1
O0001666,C00525,2024-08-06,121.06,2
O0000050,C00013,2024-10-23,89.69,3
O0002443,C00799,2024-04-29,87.58,1
O0003317,C01051,2024-06-01,112.46,1
O0005078,C01630,2025-03-05,93.77,2
O0006130,C01940,2024-07-28,89.79,2
O0003964,C01266,2024-07-10,70.44,1
O0005838,C01859,2024-11-05,70.87,2
O0000594,C00178,2024-06-18,79.31,1
O0003700,C01166,2024-02-26,130.58,3
O0000898,C00264,2025-03-05,88.66,1
O0005491,C01744,2024-12-05,143.44,2
O0005087,C01632,2024-01-09,42.71,4
O0004855,C01559,2024-05-14,109.45,1
O0000728,C00216,2024-10-25,83.81,3
O0004239,C01364,2024-11-21,36.17,5
O0001339,C00429,2024-10-11,26.08,2
O0004028,C01288,2024-03-07,66.44,3
O0004931,C01583,2024-07-20,86.44,2
O0002298,C00740,2025-02-16,98.04,5
O0000261,C00082,2025-04-03,45.01,1
O0005343,C01705,2024-10-24,55.96,3
O0003993,C01277,2024-05-20,63.59,1
O0000478,C00145,2024-12-29,47.43,4
O0001159,C00357,2024-12-20,117.4,4
O0000300,C00090,2024-08-30,100.67,1
O0004638,C01492,2024-09-24,77.28,1
O0004717,C01514,2024-12-01,39.17,3
O0003092,C00978,2024-12-11,77.57,2
O0001514,C00475,2024-03-04,89.22,2
O0001487,C00466,2024-09-29,126.98,4
O0004475,C01448,2025-01-26,146.12,4
O0003284,C01038,2024-02-21,122.84,3
O0000599,C00178,2025-03-13,88.63,2
O0004430,C01429,2024-11-17,42.1,1
O0005329,C01702,2025-02-08,32.92,2
O0000759,C00221,2025-04-15,69.35,2
O0000717,C00211,2024-10-22,46.34,2
O0002997,C00949,2024-11-25,119.33,1
O0003005,C00950,2024-11-27,94.9,1
O0000219,C00073,2024-10-23,76.26,3
O0001775,C00562,2025-02-10,55.88,2
O0002485,C00808,2024-11-23,76.82,1
O0000328,C00099,2024-10-03,93.05,3
O0000212,C00071,2024-09-10,82.6,1
O0003671,C01155,2025-04-24,47.86,1
O0001790,C00568,2024-11-16,42.71,1
O0006088,C01928,2024-04-12,26.39,1
O0004632,C01488,2025-04-13,126.63,2
O0001600,C00503,2025-04-17,106.69,4
O0002048,C00650,2024-11-25,30.19,3
O0001771,C00559,2025-04-01,196.21,1
O0000269,C00085,2024-04-07,53.2,2
O0000612,C00181,2025-01-21,85.78,1
O0000195,C00067,2024-03-16,37.7,5
O0004221,C01357,2024-07-10,186.7,2
O0002814,C00899,2024-10-17,64.12,1
O0003239,C01026,2024-12-09,81.71,2
O0002077,C00661,2025-03-20,46.53,2
O0003666,C01152,2025-03-08,111.73,2
O0002166,C00693,2024-12-03,180.73,1
O0004057,C01297,2025-02-23,66.82,1
O0004438,C01435,2024-12-23,58.16,1
O0003180,C01008,2024-08-22,93.67,1
O0000891,C00263,2024-10-20,88.01,1
O0005555,C01773,2024-02-02,101.23,3
O0000149,C00051,2024-10-05,21.5,1
O0002733,C00877,2024-10-28,60.53,1
O0002197,C00704,2024-02-21,46.84,1
O0001731,C00545,2024-05-11,28.4,3
O0003085,C00976,2024-12-09,26.48,1
