transaction_id,date,store_id,product_id,quantity,unit_price
T012566,2024-04-02 18:15:00,S02,P002,1,3.5
T004042,2024-01-31 09:18:00,S02,P004,1,4.25
T008968,2024-03-07 09:48:00,S03,P002,2,3.5
T000373,2024-01-04 12:09:00,S01,P003,2,4.5
T010214,2024-03-16 11:40:00,S02,P002,1,3.5
T016095,2024-04-26 13:26:00,S03,P016,2,2.0
T002965,2024-01-23 09:10:00,S02,P015,1,4.25
T006960,2024-02-22 07:27:00,S02,P010,1,5.25
T007734,2024-02-28 08:53:00,S01,P004,1,4.25
T008909,2024-03-07 13:07:00,S02,P006,1,5.0
T014187,2024-04-13 14:00:00,S02,P003,1,4.5
T010393,2024-03-17 09:27:00,S03,P014,1,3.95
T006711,2024-02-20 09:02:00,S02,P001,1,3.0
T009229,2024-03-09 13:17:00,S02,P005,1,4.75
T015533,2024-04-22 12:46:00,S02,P013,1,2.75
T011363,2024-03-24 12:28:00,S03,P013,3,2.75
T014602,2024-04-16 08:14:00,S01,P003,1,4.5
T001628,2024-01-13 10:48:00,S02,P007,3,3.25
T014702,2024-04-16 16:18:00,S03,P013,1,2.75
T006315,2024-02-17 14:22:00,S02,P005,1,4.75
T002462,2024-01-19 08:46:00,S02,P005,1,4.75
T012127,2024-03-30 15:38:00,S02,P014,1,3.95
T002490,2024-01-19 07:59:00,S03,P017,1,8.5
T011188,2024-03-23 07:49:00,S03,P001,2,3.0
T001664,2024-01-13 13:49:00,S03,P004,1,4.25
T000524,2024-01-05 08:42:00,S01,P002,3,3.5
T013314,2024-04-07 08:27:00,S02,P003,2,4.5
T010539,2024-03-18 14:15:00,S03,P011,1,3.75
T013256,2024-04-07 08:59:00,S01,P002,1,3.5
T015049,2024-04-19 09:05:00,S02,P001,1,3.0
T008613,2024-03-05 15:26:00,S01,P004,1,4.25
T015267,2024-04-20 10:17:00,S03,P005,1,4.75
T000521,2024-01-05 13:00:00,S01,P012,1,3.5
T000805,2024-01-07 10:09:00,S01,P001,1,3.0
T008121,2024-03-01 12:37:00,S03,P001,1,3.0
T007490,2024-02-26 15:41:00,S01,P004,1,4.25
T008539,2024-03-04 08:21:00,S02,P006,1,5.0
T013255,2024-04-07 11:00:00,S01,P002,1,3.5
T011646,2024-03-26 09:03:00,S03,P008,1,4.5
T011726,2024-03-27 09:22:00,S03,P005,1,4.75
T015393,2024-04-21 07:46:00,S02,P004,1,4.25
T015536,2024-04-22 11:00:00,S02,P002,2,3.5
T005433,2024-02-10 08:42:00,S03,P002,3,3.5
T002365,2024-01-18 10:08:00,S03,P004,1,4.25
T010146,2024-03-16 07:43:00,S01,P006,3,5.0
T011334,2024-03-24 11:36:00,S03,P005,1,4.75
T001425,2024-01-12 09:01:00,S01,P004,1,4.25
T008783,2024-03-06 09:56:00,S02,P004,1,4.25
T008806,2024-03-06 15:46:00,S02,P005,1,4.75
T011850,2024-03-28 18:12:00,S02,P001,2,3.0
T002466,2024-01-19 08:25:00,S02,P011,1,3.75
T000360,2024-01-03 12:21:00,S03,P001,1,3.0
T015897,2024-04-25 10:31:00,S02,P011,1,3.75
T014552,2024-04-15 12:10:00,S03,P011,2,3.75
T000629,2024-01-06 12:50:00,S01,P004,1,4.25
T007917,2024-02-29 10:00:00,S02,P005,2,4.75
T002198,2024-01-17 09:40:00,S01,P011,1,3.75
T014995,2024-04-19 08:21:00,S01,P004,2,4.25
T000979,2024-01-08 09:45:00,S01,P014,1,3.95
T016600,2024-04-29 13:30:00,S03,P002,1,3.5
T004669,2024-02-04 09:17:00,S03,P002,1,3.5
T009431,2024-03-10 13:09:00,S03,P003,2,4.5
T002504,2024-01-19 08:29:00,S03,P002,2,3.5
T002977,2024-01-23 10:06:00,S02,P004,1,4.25
T005020,2024-02-07 13:02:00,S02,P004,1,4.25
T010134,2024-03-16 07:05:00,S01,P006,1,5.0
T014251,2024-04-13 11:15:00,S03,P008,1,4.5
T015457,2024-04-21 12:31:00,S03,P018,1,7.95
T000909,2024-01-07 12:37:00,S03,P002,1,3.5
T012821,2024-04-04 09:13:00,S01,P017,1,8.5
T007255,2024-02-24 09:45:00,S03,P012,1,3.5
T016686,2024-04-30 13:19:00,S02,P012,1,3.5
T016590,2024-04-29 10:28:00,S03,P003,1,4.5
T015844,2024-04-24 17:25:00,S03,P013,1,2.75
T001780,2024-01-14 12:33:00,S02,P003,1,4.5
T006410,2024-02-18 09:16:00,S01,P004,1,4.25
T006137,2024-02-16 09:09:00,S02,P009,2,3.25
T015780,2024-04-24 11:43:00,S02,P018,1,7.95
T010649,2024-03-19 07:20:00,S03,P010,1,5.25
T012544,2024-04-02 09:25:00,S01,P014,1,3.95
T010292,2024-03-17 07:43:00,S01,P004,1,4.25
T002360,2024-01-18 12:51:00,S03,P008,1,4.5
T009146,2024-03-09 08:26:00,S01,P002,1,3.5
T011190,2024-03-23 12:15:00,S03,P005,1,4.75
T011734,2024-03-27 13:53:00,S03,P010,2,5.25
T008766,2024-03-06 18:11:00,S01,P013,1,2.75
T015513,2024-04-22 12:59:00,S02,P001,2,3.0
T001309,2024-01-11 09:02:00,S01,P004,1,4.25
T006200,2024-02-16 13:33:00,S03,P004,2,4.25
T012194,2024-03-30 07:33:00,S03,P001,1,3.0
T014792,2024-04-17 15:56:00,S03,P005,1,4.75
T006823,2024-02-21 13:17:00,S02,P005,1,4.75
T007253,2024-02-24 08:22:00,S03,P011,1,3.75
T012136,2024-03-30 13:55:00,S02,P006,1,5.0
T006784,2024-02-21 13:15:00,S01,P017,1,8.5
T007261,2024-02-24 12:33:00,S03,P005,1,4.75
T013022,2024-04-05 14:05:00,S03,P007,1,3.25
T005501,2024-02-11 11:23:00,S01,P001,1,3.0
T005909,2024-02-14 09:10:00,S02,P012,1,3.5
T007811,2024-02-28 12:04:00,S03,P002,1,3.5
T013731,2024-04-10 12:29:00,S02,P005,1,4.75
T011290,2024-03-24 12:28:00,S02,P001,1,3.0
T010755,2024-03-20 16:03:00,S02,P012,2,3.5
T014925,2024-04-18 10:56:00,S02,P010,2,5.25
T004720,2024-02-05 10:11:00,S01,P003,1,4.5
T012208,2024-03-30 11:29:00,S03,P009,1,3.25
T016300,2024-04-27 14:57:00,S03,P016,1,2.0
T014924,2024-04-18 08:30:00,S02,P005,1,4.75
T012672,2024-04-03 16:45:00,S01,P003,1,4.5
T016215,2024-04-27 12:22:00,S02,P006,1,5.0
T001760,2024-01-14 09:21:00,S02,P003,1,4.5
T003093,2024-01-24 09:29:00,S02,P011,1,3.75
T014143,2024-04-13 07:19:00,S01,P006,1,5.0
T004539,2024-02-04 08:38:00,S01,P005,1,4.75
T014832,2024-04-17 10:55:00,S03,P004,1,4.25
T002416,2024-01-19 12:09:00,S01,P003,1,4.5
T015651,2024-04-23 09:48:00,S02,P016,1,2.0
T015104,2024-04-19 13:54:00,S03,P018,1,7.95
T005150,2024-02-08 17:11:00,S03,P012,1,3.5
T014806,2024-04-17 12:31:00,S03,P014,1,3.95
T015177,2024-04-20 13:08:00,S02,P003,1,4.5
T011703,2024-03-27 15:35:00,S02,P009,1,3.25
T009791,2024-03-13 08:42:00,S02,P008,3,4.5
T014419,2024-04-14 12:44:00,S03,P018,2,7.95
T009809,2024-03-13 08:36:00,S02,P010,1,5.25
T013654,2024-04-09 09:41:00,S03,P002,1,3.5
T003681,2024-01-28 12:56:00,S03,P001,1,3.0
T007346,2024-02-25 09:32:00,S01,P005,1,4.75
T016514,2024-04-29 08:15:00,S01,P005,2,4.75
T016334,2024-04-28 12:54:00,S01,P017,1,8.5
T001468,2024-01-12 08:28:00,S02,P003,3,4.5
T004425,2024-02-03 11:11:00,S02,P004,1,4.25
T011899,2024-03-28 09:01:00,S03,P010,1,5.25
T008640,2024-03-05 09:26:00,S02,P016,1,2.0
T012701,2024-04-03 11:35:00,S01,P003,3,4.5
T010338,2024-03-17 09:59:00,S02,P017,1,8.5
T003152,2024-01-24 09:34:00,S03,P002,1,3.5
T013957,2024-04-11 08:31:00,S03,P010,1,5.25
T004635,2024-02-04 09:23:00,S02,P004,1,4.25
T015824,2024-04-24 13:16:00,S03,P012,1,3.5
T001472,2024-01-12 13:51:00,S02,P001,1,3.0
T013613,2024-04-09 09:17:00,S02,P003,1,4.5
T014115,2024-04-13 10:26:00,S01,P013,1,2.75
T011525,2024-03-26 09:54:00,S01,P005,2,4.75
T007306,2024-02-25 07:30:00,S01,P014,1,3.95
T009453,2024-03-10 17:40:00,S03,P004,1,4.25
T006263,2024-02-17 09:05:00,S01,P003,1,4.5
T009383,2024-03-10 10:28:00,S02,P005,2,4.75
T004208,2024-02-01 12:59:00,S03,P001,3,3.0
T000264,2024-01-03 11:58:00,S01,P003,1,4.5
T000399,2024-01-04 12:33:00,S01,P018,1,7.95
T011446,2024-03-25 10:15:00,S02,P004,1,4.25
T008959,2024-03-07 10:23:00,S03,P011,1,3.75
T015521,2024-04-22 17:02:00,S02,P006,1,5.0
T006924,2024-02-22 16:02:00,S01,P007,1,3.25
T002180,2024-01-17 08:45:00,S01,P001,1,3.0
T003030,2024-01-23 13:22:00,S03,P013,1,2.75
T006198,2024-02-16 10:57:00,S03,P001,1,3.0
T007965,2024-02-29 12:13:00,S03,P003,1,4.5
T000079,2024-01-01 09:38:00,S02,P003,1,4.5
T013479,2024-04-08 15:31:00,S02,P009,1,3.25
T011506,2024-03-25 08:29:00,S03,P014,2,3.95
T000829,2024-01-07 12:21:00,S02,P005,1,4.75
T010289,2024-03-17 12:11:00,S01,P007,1,3.25
T009385,2024-03-10 10:06:00,S02,P003,1,4.5
T012476,2024-04-01 12:08:00,S02,P009,1,3.25
T004844,2024-02-06 18:21:00,S01,P015,1,4.25
T005741,2024-02-13 07:26:00,S01,P005,1,4.75
T007127,2024-02-23 09:12:00,S03,P008,2,4.5
T006100,2024-02-16 13:39:00,S01,P003,1,4.5
T013352,2024-04-07 07:32:00,S03,P010,1,5.25
T002421,2024-01-19 07:07:00,S01,P003,1,4.5
T010746,2024-03-20 14:16:00,S02,P010,1,5.25
T015141,2024-04-20 09:18:00,S01,P004,1,4.25
T008413,2024-03-03 12:54:00,S03,P010,1,5.25
T014813,2024-04-17 13:15:00,S03,P001,3,3.0
T002134,2024-01-16 08:14:00,S03,P007,1,3.25
T012842,2024-04-04 17:06:00,S01,P009,1,3.25
T011702,2024-03-27 11:38:00,S02,P010,1,5.25
T001750,2024-01-14 10:19:00,S01,P011,1,3.75
T007479,2024-02-26 08:21:00,S01,P009,3,3.25
T003671,2024-01-28 08:24:00,S03,P013,1,2.75
T006234,2024-02-17 16:57:00,S01,P018,1,7.95
T012733,2024-04-03 09:06:00,S02,P002,1,3.5
T015717,2024-04-23 15:01:00,S03,P006,1,5.0
T011581,2024-03-26 07:03:00,S02,P009,1,3.25
T013542,2024-04-09 11:30:00,S01,P013,2,2.75
T003583,2024-01-28 18:38:00,S01,P011,1,3.75
T004097,2024-02-01 08:44:00,S01,P002,1,3.5
T008841,2024-03-06 14:57:00,S03,P004,1,4.25
T008951,2024-03-07 12:54:00,S02,P018,1,7.95
T003778,2024-01-29 11:26:00,S02,P011,1,3.75
T011860,2024-03-28 08:28:00,S03,P002,1,3.5
T012671,2024-04-03 11:26:00,S01,P001,2,3.0
T014983,2024-04-19 09:26:00,S01,P003,2,4.5
T015828,2024-04-24 09:12:00,S03,P001,1,3.0
T002805,2024-01-21 10:40:00,S03,P005,1,4.75
T005892,2024-02-14 13:50:00,S01,P018,1,7.95
T015863,2024-04-25 07:12:00,S01,P002,1,3.5
T015336,2024-04-21 18:19:00,S01,P002,1,3.5
T007323,2024-02-25 18:45:00,S01,P017,1,8.5
T009932,2024-03-14 16:05:00,S02,P004,1,4.25
T007327,2024-02-25 09:07:00,S01,P017,2,8.5
T009874,2024-03-14 13:36:00,S01,P011,1,3.75
T015980,2024-04-25 14:31:00,S03,P003,1,4.5
T008155,2024-03-02 12:00:00,S01,P015,1,4.25
T010789,2024-03-20 12:03:00,S03,P009,1,3.25
T000056,2024-01-01 08:41:00,S02,P018,2,7.95
T014711,2024-04-17 12:47:00,S01,P018,1,7.95
T007256,2024-02-24 10:12:00,S03,P009,1,3.25
T016639,2024-04-30 17:39:00,S01,P011,2,3.75
T005029,2024-02-07 18:54:00,S03,P004,1,4.25
T007186,2024-02-24 08:53:00,S01,P002,1,3.5
T012023,2024-03-29 12:21:00,S03,P015,1,4.25
T001734,2024-01-14 18:07:00,S01,P003,1,4.5
T010523,2024-03-18 10:27:00,S03,P015,1,4.25
T015790,2024-04-24 10:18:00,S02,P014,2,3.95
T005443,2024-02-10 12:36:00,S03,P002,1,3.5
T013952,2024-04-11 14:25:00,S03,P001,1,3.0
T014463,2024-04-15 11:50:00,S01,P004,2,4.25
T010297,2024-03-17 12:04:00,S01,P011,2,3.75
T009798,2024-03-13 09:32:00,S02,P005,1,4.75
T004663,2024-02-04 12:32:00,S03,P014,2,3.95
T001119,2024-01-09 17:13:00,S02,P005,3,4.75
T015607,2024-04-23 15:11:00,S01,P003,1,4.5
T005228,2024-02-09 07:34:00,S02,P003,1,4.5
T006047,2024-02-15 08:19:00,S02,P006,1,5.0
T010468,2024-03-18 07:37:00,S01,P006,1,5.0
T014151,2024-04-13 14:37:00,S02,P006,1,5.0
T015444,2024-04-21 16:45:00,S03,P015,2,4.25
T001467,2024-01-12 11:37:00,S02,P010,1,5.25
T014214,2024-04-13 10:02:00,S03,P003,2,4.5
T005944,2024-02-14 11:05:00,S03,P013,2,2.75
T012848,2024-04-04 07:37:00,S02,P011,1,3.75
T013216,2024-04-06 16:54:00,S03,P010,1,5.25
T012117,2024-03-30 07:14:00,S02,P011,1,3.75
T000792,2024-01-07 08:15:00,S01,P017,1,8.5
T008561,2024-03-04 08:05:00,S03,P003,1,4.5
T011936,2024-03-29 13:58:00,S01,P004,1,4.25
T012827,2024-04-04 11:20:00,S01,P012,1,3.5
T012609,2024-04-02 16:28:00,S02,P008,1,4.5
T008723,2024-03-05 10:35:00,S03,P016,1,2.0
T001433,2024-01-12 08:59:00,S01,P006,2,5.0
T014659,2024-04-16 08:59:00,S03,P010,2,5.25
T015931,2024-04-25 07:33:00,S02,P008,1,4.5
T001084,2024-01-09 13:45:00,S01,P013,1,2.75
T006953,2024-02-22 10:45:00,S02,P005,1,4.75
T003642,2024-01-28 09:59:00,S02,P004,1,4.25
T015549,2024-04-22 07:43:00,S03,P010,2,5.25
T000274,2024-01-03 16:19:00,S01,P010,1,5.25
T006503,2024-02-18 08:28:00,S03,P017,1,8.5
T009889,2024-03-14 12:11:00,S01,P005,1,4.75
T015185,2024-04-20 10:34:00,S02,P003,1,4.5
T008450,2024-03-03 16:56:00,S03,P008,2,4.5
T001378,2024-01-11 10:20:00,S03,P006,1,5.0
T013515,2024-04-08 08:32:00,S03,P002,1,3.5
T005901,2024-02-14 09:41:00,S02,P017,1,8.5
T004953,2024-02-07 12:58:00,S01,P003,1,4.5
T005803,2024-02-13 08:59:00,S02,P002,1,3.5
T012883,2024-04-04 13:10:00,S02,P005,1,4.75
T013728,2024-04-10 16:19:00,S02,P005,2,4.75
T011902,2024-03-28 12:40:00,S03,P003,2,4.5
T012318,2024-03-31 14:32:00,S02,P005,1,4.75
T007868,2024-02-29 11:15:00,S01,P011,1,3.75
T006384,2024-02-18 08:59:00,S01,P006,2,5.0
T015473,2024-04-22 09:22:00,S01,P014,1,3.95
T003087,2024-01-24 09:25:00,S02,P003,1,4.5
T002408,2024-01-19 09:00:00,S01,P012,1,3.5
T005435,2024-02-10 10:56:00,S03,P005,1,4.75
T008540,2024-03-04 12:35:00,S02,P002,3,3.5
T013361,2024-04-07 15:07:00,S03,P009,1,3.25
T000616,2024-01-05 09:48:00,S03,P011,1,3.75
T010717,2024-03-20 11:30:00,S02,P011,1,3.75
T002831,2024-01-22 12:51:00,S01,P001,1,3.0
T009991,2024-03-14 10:14:00,S03,P018,1,7.95
T011378,2024-03-24 11:56:00,S03,P011,1,3.75
T011507,2024-03-25 12:10:00,S03,P008,1,4.5
T003926,2024-01-30 11:31:00,S02,P010,1,5.25
T003038,2024-01-23 15:59:00,S03,P006,1,5.0
T000972,2024-01-08 10:56:00,S01,P012,1,3.5
T006604,2024-02-19 09:27:00,S02,P005,1,4.75
T008720,2024-03-05 17:21:00,S03,P008,1,4.5
T011333,2024-03-24 16:31:00,S03,P011,1,3.75
T008012,2024-03-01 09:55:00,S01,P014,1,3.95
T011795,2024-03-28 15:58:00,S01,P003,1,4.5
T001448,2024-01-12 09:05:00,S01,P005,1,4.75
T007876,2024-02-29 12:38:00,S01,P001,1,3.0
T010653,2024-03-19 12:48:00,S03,P012,2,3.5
T002245,2024-01-17 10:56:00,S03,P015,2,4.25
T013637,2024-04-09 14:21:00,S02,P005,1,4.75
T011838,2024-03-28 14:01:00,S02,P013,1,2.75
T015372,2024-04-21 14:52:00,S02,P005,1,4.75
T015815,2024-04-24 08:51:00,S02,P013,1,2.75
T000241,2024-01-02 12:18:00,S03,P018,1,7.95
T002101,2024-01-16 13:07:00,S02,P005,1,4.75
T013028,2024-04-05 07:03:00,S03,P006,1,5.0
T005847,2024-02-13 07:01:00,S03,P007,1,3.25
T015284,2024-04-20 14:21:00,S03,P004,1,4.25
T013175,2024-04-06 13:49:00,S03,P014,1,3.95
T001346,2024-01-11 08:15:00,S02,P007,1,3.25
T008494,2024-03-04 14:28:00,S01,P002,1,3.5
T008198,2024-03-02 13:16:00,S02,P017,1,8.5
T013723,2024-04-10 17:48:00,S01,P003,1,4.5
T004821,2024-02-06 12:26:00,S01,P007,1,3.25
T010219,2024-03-16 12:22:00,S03,P011,1,3.75
T016589,2024-04-29 09:38:00,S03,P006,3,5.0
T000593,2024-01-05 14:03:00,S03,P012,1,3.5
T007898,2024-02-29 08:35:00,S02,P016,1,2.0
T009130,2024-03-09 11:07:00,S01,P003,1,4.5
T015390,2024-04-21 15:49:00,S02,P012,1,3.5
T013670,2024-04-09 09:17:00,S03,P001,1,3.0
T006213,2024-02-17 08:49:00,S01,P005,2,4.75
T014043,2024-04-12 08:29:00,S03,P001,2,3.0
T010078,2024-03-15 12:31:00,S02,P009,1,3.25
T010163,2024-03-16 07:11:00,S01,P017,1,8.5
T015061,2024-04-19 12:57:00,S02,P009,2,3.25
T014197,2024-04-13 12:39:00,S02,P001,1,3.0
T013696,2024-04-10 09:33:00,S01,P006,1,5.0
T006190,2024-02-16 12:38:00,S03,P017,2,8.5
T016084,2024-04-26 09:28:00,S03,P017,2,8.5
T010572,2024-03-19 10:40:00,S01,P013,1,2.75
T006868,2024-02-21 13:14:00,S03,P001,1,3.0
T004288,2024-02-02 08:30:00,S02,P011,1,3.75
T001461,2024-01-12 12:50:00,S02,P005,1,4.75
T002775,2024-01-21 07:41:00,S03,P015,1,4.25
T013378,2024-04-07 09:39:00,S03,P004,1,4.25
T003965,2024-01-30 13:40:00,S03,P014,1,3.95
T002129,2024-01-16 15:45:00,S03,P011,2,3.75
T015708,2024-04-23 09:58:00,S03,P014,1,3.95
T008652,2024-03-05 15:35:00,S02,P014,1,3.95
T013970,2024-04-12 09:42:00,S01,P002,1,3.5
T012316,2024-03-31 08:43:00,S02,P012,2,3.5
T004930,2024-02-06 10:57:00,S03,P007,1,3.25
T011086,2024-03-23 09:33:00,S01,P018,1,7.95
T003724,2024-01-29 13:19:00,S01,P003,1,4.5
T007859,2024-02-29 10:02:00,S01,P015,1,4.25
T002789,2024-01-21 09:14:00,S03,P018,2,7.95
T013947,2024-04-11 08:47:00,S03,P005,2,4.75
T010473,2024-03-18 09:59:00,S01,P005,3,4.75
T000873,2024-01-07 08:52:00,S02,P009,2,3.25
T005987,2024-02-15 09:25:00,S01,P001,2,3.0
T015838,2024-04-24 07:31:00,S03,P001,2,3.0
T011800,2024-03-28 10:57:00,S01,P008,1,4.5
T006293,2024-02-17 14:10:00,S02,P004,1,4.25
T005521,2024-02-11 07:59:00,S02,P002,1,3.5
T000547,2024-01-05 17:41:00,S02,P017,1,8.5
T007544,2024-02-26 07:37:00,S02,P005,3,4.75
T005220,2024-02-09 09:29:00,S01,P006,1,5.0
T009812,2024-03-13 09:49:00,S02,P004,1,4.25
T008648,2024-03-05 14:22:00,S02,P005,1,4.75
T013752,2024-04-10 09:57:00,S02,P002,1,3.5
T010996,2024-03-22 17:24:00,S02,P006,1,5.0
T014508,2024-04-15 15:04:00,S02,P018,1,7.95
T013895,2024-04-11 14:41:00,S02,P002,1,3.5
T003316,2024-01-26 10:57:00,S01,P015,1,4.25
T008584,2024-03-04 13:55:00,S03,P011,1,3.75
T015447,2024-04-21 10:19:00,S03,P009,1,3.25
T003639,2024-01-28 07:41:00,S02,P009,1,3.25
T008011,2024-03-01 07:26:00,S01,P009,1,3.25
T004213,2024-02-01 12:46:00,S03,P011,1,3.75
T012339,2024-03-31 18:11:00,S03,P010,1,5.25
T013347,2024-04-07 11:24:00,S02,P005,1,4.75
T015053,2024-04-19 07:47:00,S02,P009,2,3.25
T001548,2024-01-13 14:49:00,S01,P013,1,2.75
T005336,2024-02-10 13:20:00,S01,P015,1,4.25
T006400,2024-02-18 11:51:00,S01,P001,1,3.0
T012421,2024-04-01 10:40:00,S01,P003,1,4.5
T006911,2024-02-22 13:11:00,S01,P004,2,4.25
T000457,2024-01-04 07:03:00,S03,P002,1,3.5
T010898,2024-03-21 09:39:00,S03,P002,1,3.5
T008760,2024-03-06 09:27:00,S01,P005,1,4.75
T016395,2024-04-28 16:47:00,S02,P006,1,5.0
T011117,2024-03-23 08:45:00,S02,P005,1,4.75
T015892,2024-04-25 11:33:00,S01,P006,1,5.0
T006091,2024-02-15 13:47:00,S03,P008,1,4.5
T001015,2024-01-08 12:12:00,S02,P004,1,4.25
T007038,2024-02-23 09:02:00,S01,P012,1,3.5
T011414,2024-03-25 17:22:00,S01,P009,1,3.25
T013572,2024-04-09 15:16:00,S01,P004,2,4.25
T000162,2024-01-02 11:41:00,S01,P003,2,4.5
T004664,2024-02-04 13:38:00,S03,P001,3,3.0
T004159,2024-02-01 14:12:00,S02,P014,1,3.95
T008473,2024-03-04 13:09:00,S01,P011,1,3.75
T009281,2024-03-09 07:13:00,S03,P001,2,3.0
T008468,2024-03-04 13:50:00,S01,P014,2,3.95
T010490,2024-03-18 14:51:00,S02,P015,2,4.25
T013997,2024-04-12 09:49:00,S02,P013,1,2.75
T006236,2024-02-17 13:03:00,S01,P012,1,3.5
T013117,2024-04-06 08:28:00,S01,P001,1,3.0
T006060,2024-02-15 07:35:00,S03,P005,1,4.75
T008668,2024-03-05 14:53:00,S02,P001,1,3.0
T009548,2024-03-11 11:05:00,S02,P017,1,8.5
T004273,2024-02-02 14:27:00,S02,P004,3,4.25
T009908,2024-03-14 15:24:00,S01,P003,1,4.5
T002451,2024-01-19 17:52:00,S02,P003,1,4.5
T015648,2024-04-23 11:38:00,S02,P009,1,3.25
T013742,2024-04-10 12:33:00,S02,P013,1,2.75
T004044,2024-01-31 10:19:00,S02,P009,1,3.25
T009990,2024-03-14 08:02:00,S03,P014,1,3.95
T011203,2024-03-23 08:21:00,S03,P006,1,5.0
T014090,2024-04-13 14:23:00,S01,P002,1,3.5
T015929,2024-04-25 09:11:00,S02,P005,1,4.75
T012377,2024-03-31 09:56:00,S03,P001,1,3.0
T008654,2024-03-05 09:05:00,S02,P005,1,4.75
T012855,2024-04-04 09:52:00,S02,P005,1,4.75
T000332,2024-01-03 08:35:00,S02,P014,2,3.95
T002834,2024-01-22 09:18:00,S01,P002,1,3.5
T009793,2024-03-13 12:12:00,S02,P012,1,3.5
T002538,2024-01-20 08:13:00,S01,P013,1,2.75
T011681,2024-03-27 09:49:00,S02,P005,3,4.75
T001870,2024-01-15 17:46:00,S01,P015,1,4.25
T004724,2024-02-05 14:22:00,S01,P011,1,3.75
T012418,2024-04-01 12:11:00,S01,P002,1,3.5
